time/total_timesteps,eval/mean_reward,train/ent_coef,train/critic_loss,train/learning_rate,eval/success_rate,train/n_updates,eval/mean_ep_length,train/actor_loss,train/ent_coef_loss,time/episodes,rollout/success_rate,time/time_elapsed,time/fps
51200,-46.22286584436893,0.9926612794399261,0.4000008091330528,0.0003,0.0,30,200.0,-1.7992965579032898,-0.02476035784929991,,,,
51200,,,,,,,,,,256,0.0,470,108
