rollout/success_rate,time/time_elapsed,train/ent_coef_loss,train/ent_coef,time/total_timesteps,train/actor_loss,train/n_updates,train/critic_loss,time/episodes,time/fps,train/learning_rate
0.0,774,-1.4707129836082458,0.6462212324142456,2406400,-6.041925287246704,1460,0.10870057148858905,12032,3106,0.0003
0.01,792,-1.5021601438522338,0.6404303848743439,2457600,-6.129786252975464,1490,0.20882933381944896,12288,3102,0.0003
0.0,810,-1.539753830432892,0.632788074016571,2508800,-6.1821154117584225,1530,0.09735210901126265,12544,3097,0.0003
0.0,827,-1.5703423380851746,0.6271196246147156,2560000,-6.263865041732788,1560,0.13267404232174157,12800,3093,0.0003
0.0,845,-1.6033591628074646,0.6214990735054016,2611200,-6.353140449523925,1590,0.20592404333874584,13056,3089,0.0003
0.0,862,-1.6316027164459228,0.615930438041687,2662400,-6.407438898086548,1620,0.28142672032117844,13312,3085,0.0003
0.0,880,-1.6591717720031738,0.6104140460491181,2713600,-6.4775137424469,1650,0.20431291870772839,13568,3082,0.0003
0.01,897,-1.6942536592483521,0.6049440801143646,2764800,-6.536845636367798,1680,0.33186342576518657,13824,3079,0.0003
0.0,915,-1.7229445576667786,0.5995212435722351,2816000,-6.570437574386597,1710,0.23448336515575646,14080,3075,0.0003
0.0,932,-1.751756501197815,0.5941476941108703,2867200,-6.641679573059082,1740,0.22033391501754523,14336,3073,0.0003
0.0,947,-1.7942133903503419,0.5870584309101105,2918400,-6.712835741043091,1780,0.18750524036586286,14592,3079,0.0003
0.02,962,-1.8222002744674684,0.5817949891090393,2969600,-6.786237382888794,1810,0.1863173233345151,14848,3084,0.0003
0.0,979,-1.8544340968132018,0.5765876412391663,3020800,-6.8613190174102785,1840,0.1827165000140667,15104,3084,0.0003
0.0,996,-1.8832967162132264,0.571422278881073,3072000,-6.899643802642823,1870,0.1441902808845043,15360,3083,0.0003
0.0,1012,-1.9128544688224793,0.5663036167621612,3123200,-6.92190465927124,1900,0.12478278316557408,15616,3084,0.0003
0.0,1027,-1.9443742632865906,0.5612329483032227,3174400,-7.010296964645386,1930,0.17936193915084003,15872,3088,0.0003
0.0,1042,-1.9756198048591613,0.556205689907074,3225600,-7.057698678970337,1960,0.19887090511620045,16128,3092,0.0003
0.0,1058,-2.00421462059021,0.5512218177318573,3276800,-7.1174603462219235,1990,0.16314729647710918,16384,3097,0.0003
0.0,1074,-2.043958067893982,0.5446491420269013,3328000,-7.133720350265503,2030,0.09231027541682124,16640,3098,0.0003
0.01,1089,-2.0754029750823975,0.5397726416587829,3379200,-7.221953725814819,2060,0.12427169792354106,16896,3101,0.0003
0.0,1104,-2.107065296173096,0.5349370419979096,3430400,-7.261313009262085,2090,0.08723926162347198,17152,3105,0.0003
0.0,1122,-2.136567544937134,0.5301446080207824,3481600,-7.293843841552734,2120,0.09118746994063258,17408,3102,0.0003
0.0,1139,-2.1664207935333253,0.5253942847251892,3532800,-7.328659248352051,2150,0.06928811706602574,17664,3100,0.0003
0.0,1155,-2.196323108673096,0.520684403181076,3584000,-7.390084362030029,2180,0.06910435715690255,17920,3100,0.0003
0.0,1170,-2.227368640899658,0.5160196423530579,3635200,-7.444096279144287,2210,0.06825348483398556,18176,3104,0.0003
0.0,1186,-2.2590099573135376,0.5113973736763,3686400,-7.467453813552856,2240,0.10593688702210784,18432,3108,0.0003
0.0,1202,-2.2982604026794435,0.5052973449230194,3737600,-7.501869249343872,2280,0.03011916633695364,18688,3108,0.0003
