#{"t_start": 1778454327.0962584, "env_id": "MujocoUR3PushSimpleEnv"}
r,l,t,is_success
-50.0,50,4.886308,False
-50.0,50,5.691334,False
-50.0,50,6.497828,False
-50.0,50,7.292306,False
-50.0,50,8.096138,False
-50.0,50,8.895865,False
-50.0,50,9.699861,False
-50.0,50,10.504852,False
-50.0,50,11.324145,False
-50.0,50,12.127977,False
-50.0,50,12.929795,False
-50.0,50,13.727184,False
-50.0,50,14.538161,False
-50.0,50,15.336087,False
-50.0,50,16.154185,False
-50.0,50,16.950273,False
-50.0,50,17.765285,False
-50.0,50,18.575969,False
-50.0,50,19.392877,False
-50.0,50,20.204762,False
-50.0,50,21.004935,False
-50.0,50,21.803968,False
-50.0,50,22.61214,False
-50.0,50,23.412917,False
-50.0,50,24.219501,False
-50.0,50,25.018436,False
-50.0,50,25.819819,False
-50.0,50,26.622734,False
-50.0,50,27.430116,False
-50.0,50,28.234087,False
-50.0,50,29.03365,False
-50.0,50,29.845466,False
-50.0,50,30.649221,False
-50.0,50,31.446965,False
-50.0,50,32.241807,False
-50.0,50,33.043437,False
-50.0,50,33.851712,False
-50.0,50,34.657615,False
-50.0,50,35.461984,False
-50.0,50,36.258695,False
-50.0,50,47.454384,False
-50.0,50,48.263783,False
-50.0,50,49.078166,False
-50.0,50,49.892177,False
-50.0,50,50.694639,False
-50.0,50,51.508814,False
-50.0,50,52.307842,False
-50.0,50,53.117817,False
-50.0,50,53.923029,False
-50.0,50,54.741534,False
-50.0,50,55.540326,False
-50.0,50,56.367172,False
-50.0,50,57.171038,False
-50.0,50,57.96949,False
-50.0,50,58.769655,False
-50.0,50,59.573152,False
-50.0,50,60.393742,False
-50.0,50,61.20385,False
-50.0,50,62.012528,False
-50.0,50,62.810354,False
-50.0,50,63.611295,False
-50.0,50,64.415133,False
-50.0,50,65.230133,False
-50.0,50,66.038685,False
-50.0,50,66.844559,False
-50.0,50,67.642181,False
-50.0,50,68.450771,False
-50.0,50,69.270089,False
-50.0,50,70.07792,False
-50.0,50,70.875777,False
-50.0,50,71.689918,False
-50.0,50,72.505827,False
-50.0,50,73.312466,False
-50.0,50,74.121774,False
-50.0,50,74.922843,False
-50.0,50,75.72529,False
-50.0,50,76.547817,False
-50.0,50,77.354611,False
-50.0,50,78.158055,False
-50.0,50,78.960609,False
-50.0,50,79.761406,False
-50.0,50,90.185367,False
-50.0,50,90.998124,False
-50.0,50,91.801739,False
-50.0,50,92.60461,False
-50.0,50,93.423562,False
-50.0,50,94.242965,False
-50.0,50,95.04902,False
-50.0,50,95.866447,False
-50.0,50,96.667687,False
-50.0,50,97.471923,False
-50.0,50,98.275574,False
-50.0,50,99.073987,False
-50.0,50,99.872856,False
-50.0,50,100.679687,False
-50.0,50,101.484586,False
-50.0,50,102.284329,False
-50.0,50,103.0881,False
-50.0,50,103.892767,False
-50.0,50,104.705019,False
-50.0,50,105.522252,False
-50.0,50,106.315885,False
-50.0,50,107.122052,False
-50.0,50,107.926711,False
-50.0,50,108.729001,False
-50.0,50,109.532995,False
-50.0,50,110.348477,False
-50.0,50,111.154008,False
-50.0,50,111.955097,False
-50.0,50,112.756284,False
-50.0,50,113.555342,False
-50.0,50,114.359969,False
-50.0,50,115.165504,False
-50.0,50,115.976423,False
-50.0,50,116.793439,False
-50.0,50,117.594054,False
-50.0,50,118.40834,False
-50.0,50,119.225598,False
-50.0,50,120.02888,False
-50.0,50,120.826956,False
-50.0,50,121.627098,False
-50.0,50,122.454572,False
-50.0,50,133.826517,False
-50.0,50,134.634892,False
-50.0,50,135.440897,False
-50.0,50,136.240047,False
-50.0,50,137.055625,False
-50.0,50,137.85552,False
-50.0,50,138.662678,False
-50.0,50,139.464615,False
-50.0,50,140.269886,False
-50.0,50,141.076425,False
-50.0,50,141.877324,False
-50.0,50,142.67504,False
-50.0,50,143.480489,False
-50.0,50,144.279286,False
-50.0,50,145.07597,False
-50.0,50,145.881881,False
-50.0,50,146.709657,False
-50.0,50,147.526383,False
-50.0,50,148.343754,False
-50.0,50,149.166076,False
-50.0,50,149.970698,False
-50.0,50,150.825786,False
-50.0,50,151.638676,False
-50.0,50,152.443849,False
-50.0,50,153.254703,False
-50.0,50,154.045043,False
-50.0,50,154.843962,False
-50.0,50,155.64763,False
-50.0,50,156.452345,False
-50.0,50,157.263643,False
-50.0,50,158.068462,False
-50.0,50,158.869312,False
-50.0,50,159.670425,False
-50.0,50,160.493273,False
-50.0,50,161.300055,False
-50.0,50,162.106258,False
-50.0,50,162.90783,False
-50.0,50,163.704782,False
-50.0,50,164.511811,False
-50.0,50,165.311295,False
-50.0,50,166.11413,False
-50.0,50,177.349619,False
-50.0,50,178.156143,False
-50.0,50,178.961698,False
-50.0,50,179.764231,False
-50.0,50,180.57795,False
-50.0,50,181.380454,False
-50.0,50,182.179954,False
-50.0,50,182.98855,False
-50.0,50,183.784425,False
-50.0,50,184.586913,False
-50.0,50,185.390307,False
-50.0,50,186.189997,False
-50.0,50,186.991708,False
-50.0,50,187.808493,False
-50.0,50,188.618169,False
-50.0,50,189.423761,False
-50.0,50,190.231871,False
-50.0,50,191.043913,False
-50.0,50,191.887187,False
-50.0,50,192.701148,False
-50.0,50,193.529372,False
-50.0,50,194.351726,False
-50.0,50,195.152038,False
-50.0,50,196.007886,False
-50.0,50,196.819222,False
-50.0,50,197.63899,False
-50.0,50,198.444068,False
-50.0,50,199.257241,False
-50.0,50,200.061052,False
-50.0,50,200.872112,False
-50.0,50,201.676326,False
-50.0,50,202.472098,False
-50.0,50,203.293304,False
-50.0,50,204.100967,False
-50.0,50,204.913234,False
-50.0,50,205.719765,False
-50.0,50,206.523738,False
-50.0,50,207.321836,False
-50.0,50,208.132081,False
-50.0,50,208.935664,False
-50.0,50,209.736995,False
-50.0,50,221.013788,False
-50.0,50,221.827176,False
-50.0,50,222.630297,False
-50.0,50,223.443319,False
-50.0,50,224.250725,False
-50.0,50,225.067786,False
-50.0,50,225.877462,False
-50.0,50,226.680453,False
-50.0,50,227.472873,False
-50.0,50,228.280279,False
-50.0,50,229.091467,False
-50.0,50,229.890279,False
-50.0,50,230.697677,False
-50.0,50,231.498633,False
-50.0,50,232.298892,False
-50.0,50,233.098711,False
-50.0,50,233.908863,False
-50.0,50,234.724385,False
-50.0,50,235.525953,False
-50.0,50,236.360246,False
-50.0,50,237.178027,False
-50.0,50,237.981999,False
-50.0,50,238.791012,False
-50.0,50,239.592714,False
-50.0,50,240.403515,False
-50.0,50,241.207561,False
-50.0,50,242.034847,False
-50.0,50,242.836643,False
-50.0,50,243.635765,False
-50.0,50,244.441957,False
-50.0,50,245.2445,False
-50.0,50,246.044647,False
-50.0,50,246.886537,False
-50.0,50,247.698168,False
-50.0,50,248.505974,False
-50.0,50,249.317467,False
-50.0,50,250.117341,False
-50.0,50,250.924724,False
-50.0,50,251.733194,False
-50.0,50,252.577201,False
-50.0,50,253.379429,False
-50.0,50,264.459634,False
-50.0,50,265.256952,False
-50.0,50,266.063072,False
-50.0,50,266.869538,False
-50.0,50,267.685449,False
-50.0,50,305.662963,False
-50.0,50,306.474039,False
-50.0,50,307.276429,False
-50.0,50,308.068075,False
-50.0,50,308.863742,False
-50.0,50,309.672511,False
-50.0,50,310.471654,False
-50.0,50,311.279883,False
-50.0,50,312.080115,False
-50.0,50,312.882344,False
-50.0,50,313.676889,False
-50.0,50,314.498484,False
-50.0,50,315.296054,False
-50.0,50,316.102589,False
-50.0,50,316.902455,False
-50.0,50,317.705754,False
-50.0,50,318.502913,False
-50.0,50,319.293061,False
-50.0,50,320.10044,False
-50.0,50,320.890153,False
-50.0,50,321.685306,False
-50.0,50,322.483394,False
-50.0,50,323.278476,False
-50.0,50,324.065502,False
-50.0,50,324.859837,False
-50.0,50,325.653407,False
-50.0,50,326.448562,False
-50.0,50,327.252875,False
-50.0,50,328.046617,False
-50.0,50,328.83647,False
-50.0,50,329.616339,False
-50.0,50,330.411572,False
-50.0,50,331.211964,False
-50.0,50,332.012595,False
-50.0,50,332.80967,False
-50.0,50,333.617185,False
-50.0,50,345.00275,False
-50.0,50,345.804074,False
-50.0,50,346.60399,False
-50.0,50,347.390269,False
-50.0,50,348.206928,False
-50.0,50,349.016218,False
-50.0,50,349.817804,False
-50.0,50,350.624589,False
-50.0,50,351.422632,False
-50.0,50,352.225164,False
-50.0,50,353.017773,False
-50.0,50,353.816213,False
-50.0,50,354.612256,False
-50.0,50,355.40756,False
-50.0,50,356.210139,False
-50.0,50,357.010815,False
-50.0,50,357.813138,False
-50.0,50,358.600739,False
-50.0,50,359.410666,False
-50.0,50,360.19573,False
-50.0,50,361.006308,False
-50.0,50,361.807045,False
-50.0,50,362.599332,False
-50.0,50,363.38817,False
-31.0,50,364.190802,False
-50.0,50,364.985626,False
-50.0,50,365.773382,False
-50.0,50,366.583048,False
-50.0,50,367.379696,False
-50.0,50,368.191101,False
-50.0,50,368.988771,False
-50.0,50,369.781968,False
-50.0,50,370.57582,False
-50.0,50,371.380411,False
-50.0,50,372.185459,False
-50.0,50,372.979456,False
-50.0,50,373.778877,False
-50.0,50,374.597748,False
-50.0,50,375.398349,False
-50.0,50,376.187402,False
-50.0,50,376.988435,False
-50.0,50,388.178138,False
-50.0,50,388.968511,False
-50.0,50,389.762008,False
-50.0,50,390.568847,False
-50.0,50,391.379486,False
-50.0,50,392.193709,False
-50.0,50,393.019671,False
-50.0,50,393.835598,False
-50.0,50,394.644013,False
-50.0,50,395.466368,False
-50.0,50,396.293274,False
-50.0,50,397.096214,False
-50.0,50,397.896217,False
-50.0,50,398.690186,False
-50.0,50,399.486398,False
-50.0,50,400.285776,False
-50.0,50,401.07713,False
-50.0,50,401.881645,False
-50.0,50,402.687537,False
-50.0,50,403.500318,False
-50.0,50,404.315656,False
-50.0,50,405.118289,False
-50.0,50,405.91889,False
-50.0,50,406.711629,False
-50.0,50,407.533648,False
-50.0,50,408.328883,False
-50.0,50,409.121556,False
-50.0,50,409.920992,False
-50.0,50,410.718596,False
-50.0,50,411.510526,False
-50.0,50,412.308579,False
-50.0,50,413.114876,False
-50.0,50,413.914968,False
-50.0,50,414.706446,False
-50.0,50,415.502533,False
-50.0,50,416.302516,False
-50.0,50,417.100199,False
-50.0,50,417.902117,False
-50.0,50,418.702965,False
-50.0,50,419.500334,False
-50.0,50,420.29091,False
-50.0,50,431.526473,False
-50.0,50,432.326297,False
-50.0,50,433.121378,False
-50.0,50,433.911027,False
-50.0,50,434.71,False
-46.0,50,435.511128,False
-50.0,50,436.305611,False
-50.0,50,437.116255,False
-50.0,50,437.916551,False
-50.0,50,438.718128,False
-50.0,50,439.521285,False
-50.0,50,440.32289,False
-50.0,50,441.121986,False
-50.0,50,441.924103,False
-50.0,50,442.72708,False
-50.0,50,443.525519,False
-50.0,50,444.318969,False
-50.0,50,445.112309,False
-50.0,50,445.915192,False
-50.0,50,446.715005,False
-50.0,50,447.525073,False
-50.0,50,448.317545,False
-50.0,50,449.113053,False
-50.0,50,449.912405,False
-2.0,50,450.699892,True
-50.0,50,451.507003,False
-50.0,50,452.301734,False
-50.0,50,453.102484,False
-50.0,50,453.898462,False
-50.0,50,454.693025,False
-50.0,50,455.489977,False
-50.0,50,456.281839,False
-50.0,50,457.070696,False
-50.0,50,457.859538,False
-50.0,50,458.645561,False
-50.0,50,459.441157,False
-50.0,50,460.244118,False
-50.0,50,461.033163,False
-50.0,50,461.830224,False
-50.0,50,462.635533,False
-50.0,50,463.437221,False
-50.0,50,475.010756,False
-50.0,50,475.803432,False
-50.0,50,476.604755,False
-50.0,50,477.394955,False
-50.0,50,478.202646,False
-50.0,50,478.994851,False
-50.0,50,479.792378,False
-50.0,50,480.587951,False
-50.0,50,481.385435,False
-50.0,50,482.18517,False
-50.0,50,482.993753,False
-50.0,50,483.797547,False
-50.0,50,484.6073,False
-50.0,50,485.408026,False
-50.0,50,486.21566,False
-50.0,50,487.00948,False
-50.0,50,487.804823,False
-50.0,50,488.603156,False
-50.0,50,489.413144,False
-50.0,50,490.211273,False
-50.0,50,491.007804,False
-50.0,50,491.819059,False
-50.0,50,492.611431,False
-50.0,50,493.417717,False
-50.0,50,494.22274,False
-50.0,50,495.026971,False
-50.0,50,495.824939,False
-50.0,50,496.626974,False
-50.0,50,497.429427,False
-50.0,50,498.230457,False
-50.0,50,499.030071,False
-50.0,50,499.824559,False
-50.0,50,500.623448,False
-50.0,50,501.421422,False
-50.0,50,502.21514,False
-50.0,50,503.016494,False
-50.0,50,503.807218,False
-50.0,50,504.604867,False
-50.0,50,505.414922,False
-50.0,50,506.203379,False
-50.0,50,507.00203,False
-50.0,50,517.887876,False
