train/explained_variance,eval/success_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length,train/clip_fraction,train/approx_kl,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/std,train/clip_range,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean
0.9718287531286478,0.0,60,-50.0,50.0,0.116845703125,0.008385899,100000,-2.725096760317683,-0.00812859066463716,2.80680869249627,0.6447222232818604,0.9435571432113647,0.2,0.0002901696,,,,,
0.97417495213449,,70,,,0.130364990234375,0.014217199,131072,-2.6873709403909745,-0.007783428721813835,3.213677268719766,1.6584231853485107,0.9190922975540161,0.2,0.0002885312,50.0,374,350,8,-50.0
0.9814404062926769,0.0,120,-50.0,50.0,0.151397705078125,0.011729653,200000,-2.3407460670918225,-0.003182444003323326,1.8158552073407919,0.545424222946167,0.7758224010467529,0.2,0.00028033919999999996,,,,,
0.9869249332696199,,150,,,0.14287109375,0.010691923,262144,-2.1618174858391286,-0.0002411753213891643,1.1404068509378704,0.48253798484802246,0.7086466550827026,0.2,0.00027542399999999997,50.0,756,346,16,-50.0
0.9916349062696099,0.0,180,-50.0,50.0,0.109527587890625,0.010422871,300000,-1.9901698366273195,-0.003110376143558824,0.7020532544091111,0.039371099323034286,0.6472152471542358,0.2,0.0002705088,,,,,
0.9993591485545039,,230,,,0.065643310546875,0.0073692305,393216,-1.6864692828152328,-0.0031519993559413705,0.059834290371873065,0.018867414444684982,0.556032657623291,0.2,0.00026231679999999996,50.0,1141,344,24,-50.0
0.9903336381539702,0.0,240,-50.0,50.0,0.103192138671875,0.008791845,400000,-1.6026885693892836,-0.002746411352745781,0.8888961134849523,0.45279327034950256,0.5321018695831299,0.2,0.0002606784,,,,,
0.9997341192502063,0.01,300,-49.9,50.0,0.03314208984375,0.0052522337,500000,-1.2795703721698373,-0.0018368754870607517,0.14979322910439805,0.11009439826011658,0.45575541257858276,0.2,0.00025084799999999997,,,,,
0.9940176368691027,,310,,,0.077801513671875,0.007354193,524288,-1.2316895445343108,0.0015713665276052779,0.5622515312941687,0.02501930668950081,0.4449424743652344,0.2,0.0002492096,50.0,1565,334,32,-50.0
0.9938921127468348,0.01,360,-49.5,50.0,0.0553955078125,0.008192998,600000,-1.0227163851261138,0.0006293982167335343,0.552753482551634,-0.00579025037586689,0.4013897776603699,0.2,0.0002410176,,,,,
0.9997402717126533,,390,,,0.029290771484375,0.0035489155,655360,-0.9335979009978473,-0.0003893145019901567,0.0506613720457608,0.03037155792117119,0.38494545221328735,0.2,0.0002361024,50.0,1951,335,40,-50.0
0.9998273510864237,0.02,420,-49.24,50.0,0.0346435546875,0.0042666756,700000,-0.8648770611733199,-0.001413215340471652,0.024828462472032697,0.0007382803596556187,0.3735138475894928,0.2,0.00023118719999999998,,,,,
0.9742133989930153,,470,,,0.071417236328125,0.006925646,786432,-0.7606339298188687,0.00010605471379676601,2.1516736132271035,0.156149223446846,0.35518479347229004,0.2,0.0002229952,50.0,2336,336,48,-50.0
0.999678057647543,0.01,480,-49.94,50.0,0.037115478515625,0.004080519,800000,-0.7438532203203068,0.0006845914567747968,0.03920637803257705,0.024219654500484467,0.3539358675479889,0.2,0.0002213568,,,,,
0.9878836367279291,0.0,540,-50.0,50.0,0.04755859375,0.0028887712,900000,-0.6555593764642254,0.0007780289344736957,0.9915284190381499,1.9731253385543823,0.337406724691391,0.2,0.00021152639999999997,,,,,
0.9812958426773548,,550,,,0.04652099609375,0.0047859815,917504,-0.6409326271386817,0.00046122617277433164,1.4762242797274667,0.010490640997886658,0.3363800644874573,0.2,0.00020988799999999998,50.0,2759,332,56,-50.0
0.9873791895806789,0.0,610,-50.0,50.0,0.0508544921875,0.0039120484,1000000,-0.5272840342484415,2.8438056324375795e-05,1.0086330233818444,0.8931662440299988,0.31735682487487793,0.2,0.0002000576,,,,,
0.982313247397542,,630,,,0.040570068359375,0.003939761,1048576,-0.5154630656819791,0.0006036607495843782,1.213338362561626,0.04704613983631134,0.31439363956451416,0.2,0.0001967808,50.0,3146,333,64,-49.8
0.9936124738305807,0.0,670,-50.0,50.0,0.033233642578125,0.003965547,1100000,-0.5124047783436254,-1.4461216233030428e-05,0.5019134724594551,0.024687521159648895,0.31614869832992554,0.2,0.0001902272,,,,,
0.9945735051296651,,710,,,0.03841552734375,0.00421747,1179648,-0.4556181755382568,0.0006193437910042121,0.43075126653329787,0.054955653846263885,0.30555784702301025,0.2,0.0001836736,50.0,3531,334,72,-49.52
0.9843968050554395,0.01,730,-49.31,50.0,0.05684814453125,0.0066714594,1200000,-0.4201403225772083,0.0004858134058849828,1.2035014260338357,1.7305835485458374,0.30151230096817017,0.2,0.0001803968,,,,,
0.992139121517539,0.0,790,-50.0,50.0,0.047918701171875,0.0047573913,1300000,-0.3246191912330687,0.00032200522764469497,0.5804110733897687,0.033877208828926086,0.2878725528717041,0.2,0.00017056639999999998,,,,,
,,,,,,,1310720,,,,,,,,50.0,3953,331,80,-50.0
0.9869569530710578,0.0,850,-50.0,50.0,0.04544677734375,0.005478209,1400000,-0.25496543003246186,0.00033024083204509226,0.9280535880581737,1.6095799207687378,0.2779991626739502,0.2,0.00016073599999999997,,,,,
0.9935299227945507,,870,,,0.03621826171875,0.0039610537,1441792,-0.26596198142506183,0.0004251559743352118,0.46929223817442106,0.03560219705104828,0.28071603178977966,0.2,0.0001574592,50.0,4339,332,88,-49.97
