rollout/success_rate,time/fps,time/episodes,train/actor_loss,time/time_elapsed,train/n_updates,time/total_timesteps,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/learning_rate
0.0,2992,256,-1.7992995977401733,17,30,51200,-0.024760526604950428,0.9926612794399261,0.40002949982881547,0.0003
0.01,3115,512,-2.381371283531189,32,60,102400,-0.055213524401187895,0.9837252736091614,0.3378578793257475,0.0003
0.0,3239,768,-2.468539762496948,47,90,153600,-0.08558818772435188,0.9748833358287812,0.22282589189708232,0.0003
0.0,3294,1024,-2.5200407028198244,62,120,204800,-0.11612046137452126,0.9661299705505371,0.18023842051625252,0.0003
0.0,3330,1280,-2.604110026359558,76,150,256000,-0.14623522758483887,0.9574509143829346,0.2330516442656517,0.0003
0.0,3357,1536,-2.66257266998291,91,180,307200,-0.17691187858581542,0.9488600432872772,0.1717671625316143,0.0003
0.0,3353,1792,-2.72558274269104,106,210,358400,-0.2070959761738777,0.9403478562831878,0.04834911804646254,0.0003
0.0,3286,2048,-2.809244656562805,124,240,409600,-0.23757279962301253,0.9319134175777435,0.14763263035565616,0.0003
0.0,3232,2304,-2.8831124782562254,142,280,460800,-0.2775691747665405,0.9207851648330688,0.07004406247287989,0.0003
0.0,3208,2560,-2.9721076488494873,159,310,512000,-0.30839084684848783,0.9125296413898468,0.10804667230695486,0.0003
0.01,3189,2816,-3.0511025190353394,176,340,563200,-0.33851851522922516,0.9043476998805999,0.1450064482167363,0.0003
0.0,3211,3072,-3.118599009513855,191,370,614400,-0.36876152753829955,0.8962397396564483,0.0432717502117157,0.0003
0.01,3228,3328,-3.212739872932434,206,400,665600,-0.39854563772678375,0.8882046043872833,0.12263813000172377,0.0003
0.0,3238,3584,-3.288974332809448,221,430,716800,-0.42966578900814056,0.8802403330802917,0.02434061635285616,0.0003
