rollout/success_rate,train/n_updates,time/episodes,train/ent_coef_loss,train/learning_rate,train/actor_loss,time/time_elapsed,train/ent_coef,train/critic_loss,time/fps,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward
0.0,1090,8960,-1.0955201506614685,0.0003,-5.161697912216186,991,0.7220883429050445,0.11254208805039526,1806,1792000,,,
0.0,1120,9216,-1.1274542331695556,0.0003,-5.245978212356567,1007,0.7156192541122437,0.055872877687215806,1830,1843200,,,
0.0,1150,9472,-1.156050193309784,0.0003,-5.312553977966308,1022,0.7092092990875244,0.09519758094102145,1853,1894400,,,
0.0,1180,9728,-1.1865600228309632,0.0003,-5.380263710021973,1037,0.7028562366962433,0.11006505321711302,1875,1945600,,,
0.0,1210,9984,-1.2160871624946594,0.0003,-5.463768672943115,1052,0.6965582370758057,0.09499878194183112,1896,1996800,,,
,1220,,-1.2285061717033385,0.0003,-5.487849330902099,,0.6944720327854157,0.11423058994114399,,1999872,0.0,200.0,-51.39004003345966
0.0,1240,10240,-1.2487593412399292,0.0003,-5.53396372795105,1511,0.690315580368042,0.053818822279572485,1355,2048000,,,
0.0,1280,10496,-1.2877713322639466,0.0003,-5.622750282287598,1526,0.6820797443389892,0.054247683472931386,1375,2099200,,,
0.0,1310,10752,-1.3173323035240174,0.0003,-5.703139019012451,1541,0.6759678423404694,0.07134975288063287,1395,2150400,,,
0.0,1340,11008,-1.3474823832511902,0.0003,-5.77573709487915,1556,0.6699116885662079,0.12958183819428087,1414,2201600,,,
0.0,1370,11264,-1.3791359424591065,0.0003,-5.847820711135864,1570,0.6639089047908783,0.16838544299826025,1434,2252800,,,
0.01,1400,11520,-1.409278404712677,0.0003,-5.910058307647705,1585,0.657960170507431,0.09270969070494176,1452,2304000,,,
0.01,1430,11776,-1.4379871845245362,0.0003,-5.96721305847168,1601,0.6520640611648559,0.0731264258734882,1471,2355200,,,
0.0,1460,12032,-1.4706337928771973,0.0003,-6.049286222457885,1616,0.6462215662002564,0.16946675404906272,1489,2406400,,,
0.01,1490,12288,-1.5021865606307983,0.0003,-6.12020959854126,1630,0.6404307246208191,0.22659583985805512,1506,2457600,,,
0.0,1530,12544,-1.5396105289459228,0.0003,-6.181121444702148,1645,0.6327883780002594,0.09731867015361786,1524,2508800,,,
0.0,1560,12800,-1.570319926738739,0.0003,-6.254987907409668,1662,0.6271200597286224,0.15339828543365003,1540,2560000,,,
0.0,1590,13056,-1.6033026337623597,0.0003,-6.359887981414795,1677,0.6214994311332702,0.22651769956573845,1556,2611200,,,
0.0,1620,13312,-1.6316280484199523,0.0003,-6.418456077575684,1692,0.6159309267997741,0.2790364995598793,1572,2662400,,,
0.0,1650,13568,-1.659168016910553,0.0003,-6.459575653076172,1707,0.6104144990444184,0.10878330180421472,1589,2713600,,,
0.01,1680,13824,-1.6942147493362427,0.0003,-6.541769313812256,1722,0.6049446284770965,0.31550779957324265,1605,2764800,,,
0.0,1710,14080,-1.7229637503623962,0.0003,-6.577343463897705,1737,0.5995218396186829,0.23514296896755696,1620,2816000,,,
0.0,1740,14336,-1.7518652319908141,0.0003,-6.645576333999633,1752,0.5941480457782745,0.2191224630922079,1636,2867200,,,
0.0,1780,14592,-1.794113039970398,0.0003,-6.733879137039184,1766,0.5870586931705475,0.1902942592278123,1651,2918400,,,
0.02,1810,14848,-1.822130310535431,0.0003,-6.772278642654419,1781,0.5817954003810882,0.1844157432205975,1666,2969600,,,
,1830,,-1.8379011154174805,0.0003,-6.800736331939698,,0.5783178925514221,0.14676327100023628,,2999808,0.0,200.0,-48.07904020249843
0.0,1840,15104,-1.854427695274353,0.0003,-6.863237619400024,2276,0.5765881478786469,0.18251088578253985,1327,3020800,,,
0.0,1870,15360,-1.8832802653312684,0.0003,-6.897352075576782,2292,0.5714228272438049,0.14375254195183515,1340,3072000,,,
0.0,1900,15616,-1.9127878546714783,0.0003,-6.917908811569214,2308,0.5663042545318604,0.12514955159276725,1352,3123200,,,
