#{"t_start": 1782379674.2784123, "env_id": "None"}
r,l,t
-47.793198,200,149.179458
-83.82654,200,149.179458
-42.279152,200,149.179458
-33.246616,200,149.179458
-58.91533,200,149.179458
-28.5904,200,149.179458
-40.197117,200,149.179458
-32.031166,200,149.179458
-59.971767,200,149.179458
-37.38226,200,149.179458
-59.516056,200,149.179458
-65.245415,200,149.179458
-67.61654,200,149.179458
-35.650894,200,167.130397
-61.75566,200,236.930126
-49.78073,200,236.930626
-52.17315,200,236.930626
-40.312515,200,236.930626
-60.963142,200,236.930626
-50.114193,200,236.930626
-54.342922,200,236.930626
-65.85387,200,236.930626
-59.72633,200,236.930626
-32.757305,200,236.930626
-52.909447,200,236.930626
-47.741547,200,236.930626
-44.651207,200,236.930626
-83.95281,200,236.930626
-32.39202,200,236.930626
-43.154213,200,236.930626
-36.796062,200,236.930626
-40.77442,200,236.930626
-47.971844,200,236.930626
-48.95013,200,236.930626
-38.66597,200,236.930626
-78.57335,200,236.930626
-65.031334,200,236.930626
-58.937534,200,236.930626
-52.76696,200,236.930626
-57.02225,200,236.930626
-40.133034,200,236.930626
-43.31838,200,236.930626
-48.420002,200,236.930626
-50.08624,200,236.930626
-54.240696,200,236.930626
-35.844364,200,236.930626
-54.57435,200,236.930626
-48.11712,200,236.930626
-59.630005,200,236.930626
-51.65059,200,236.930626
-60.384537,200,236.930626
-33.75399,200,236.930626
-40.31343,200,236.930626
-41.129112,200,236.930626
-30.804173,200,236.930626
-45.308918,200,236.930626
-53.051113,200,236.930626
-34.638424,200,236.930626
-44.047012,200,236.930626
-83.25903,200,236.930626
-57.156136,200,236.930626
-42.238705,200,236.930626
-68.14549,200,236.930626
-41.40065,200,236.930626
-41.98876,200,236.930626
-40.587444,200,236.930626
-30.975874,200,236.930626
-55.051437,200,236.930626
-65.46363,200,236.930626
-50.592148,200,236.930626
-36.558487,200,236.930626
-38.338684,200,236.930626
-43.909363,200,236.930626
-43.746246,200,236.930626
-34.822437,200,236.930626
-62.635403,200,236.930626
-46.13563,200,236.930626
-28.514793,200,236.930626
-83.34213,200,236.930626
-30.443848,200,236.930626
-47.63721,200,236.930626
-48.203102,200,236.930626
-60.876076,200,236.930626
-69.41601,200,236.930626
-56.788902,200,236.930626
-66.716576,200,236.930626
-46.905163,200,236.930626
-56.35075,200,236.930626
-49.040222,200,236.930626
-47.60556,200,236.930626
-68.804985,200,236.930626
-71.188095,200,236.930626
-38.18657,200,236.930626
-31.038883,200,236.930626
-48.25739,200,236.930626
-42.6827,200,236.930626
-44.746105,200,236.930626
-51.29143,200,236.930626
-33.462357,200,236.930626
-42.492,200,236.930626
-40.241062,200,236.930626
-51.688698,200,236.930626
-37.082645,200,236.930626
-38.88931,200,236.930626
-49.892876,200,236.930626
-48.16197,200,236.930626
-38.040497,200,236.931126
-45.774776,200,236.931126
-29.144398,200,236.931126
-34.854332,200,236.931126
-49.432716,200,236.931126
-37.699924,200,236.931126
-56.928745,200,236.931126
-87.41901,200,236.931126
-31.447994,200,236.931126
-57.97111,200,236.931126
-73.05417,200,236.931126
-56.66979,200,236.931126
-67.30149,200,236.931126
-46.24831,200,236.931126
-46.345432,200,236.931126
-56.59262,200,236.931126
-76.28765,200,236.931126
-45.99488,200,236.931126
-54.296597,200,236.931126
-46.105625,200,236.931126
-55.21063,200,236.931126
-47.20907,200,236.931126
-38.238873,200,236.931126
-89.454285,200,236.931126
-43.155884,200,236.931126
-53.152855,200,236.931126
-46.566067,200,236.931126
-55.94577,200,236.931126
-91.26681,200,236.931126
-31.963892,200,236.931126
