time/total_timesteps,time/episodes,train/ent_coef_loss,time/time_elapsed,rollout/success_rate,train/n_updates,train/actor_loss,train/critic_loss,time/fps,train/ent_coef,train/learning_rate
51200,256,-0.02476038858294487,17,0.0,30,-1.7992801308631896,0.39996317923069,3006,0.9926612794399261,0.0003
102400,512,-0.05521375872194767,34,0.01,60,-2.3808817625045777,0.33786590322852134,2943,0.9837252676486969,0.0003
153600,768,-0.08558880463242531,49,0.0,90,-2.4692580938339233,0.22287452407181263,3079,0.9748833239078522,0.0003
204800,1024,-0.11611979380249977,64,0.0,120,-2.5212167739868163,0.18025564774870872,3163,0.9661299705505371,0.0003
256000,1280,-0.14623598158359527,81,0.0,150,-2.601108527183533,0.21297800932079552,3160,0.9574509143829346,0.0003
307200,1536,-0.17691188007593156,98,0.0,180,-2.6642151832580567,0.1718147484585643,3128,0.9488600432872772,0.0003
358400,1792,-0.20709491670131683,116,0.0,210,-2.7244924306869507,0.027289151400327682,3087,0.9403478920459747,0.0003
409600,2048,-0.23757314831018447,133,0.0,240,-2.8081908226013184,0.14747387487441302,3066,0.931913435459137,0.0003
460800,2304,-0.2775700628757477,148,0.0,280,-2.88138267993927,0.06989203244447709,3102,0.9207851886749268,0.0003
512000,2560,-0.30839037001132963,163,0.0,310,-2.970927095413208,0.10792783629149198,3130,0.9125296354293824,0.0003
563200,2816,-0.3385194718837738,178,0.01,340,-3.0491685390472414,0.14488535858690738,3159,0.904347687959671,0.0003
614400,3072,-0.3687589555978775,192,0.0,370,-3.116077423095703,0.04321224223822355,3184,0.8962397336959839,0.0003
665600,3328,-0.39854343235492706,207,0.0,400,-3.210180401802063,0.12257520351558923,3203,0.8882045984268189,0.0003
716800,3584,-0.4296640187501907,222,0.0,430,-3.2851234436035157,0.024360021762549876,3216,0.8802403330802917,0.0003
768000,3840,-0.4593228787183762,240,0.0,460,-3.3562636375427246,0.022260131314396858,3195,0.8723525822162628,0.0003
819200,4096,-0.4898629128932953,257,0.0,490,-3.4551988363265993,0.06166362687945366,3182,0.8645380020141602,0.0003
870400,4352,-0.5300942063331604,272,0.0,530,-3.5861284017562864,0.18586098896339537,3196,0.8542195975780487,0.0003
921600,4608,-0.560736894607544,287,0.0,560,-3.6593827486038206,0.05740765631198883,3209,0.8465626835823059,0.0003
972800,4864,-0.5914397597312927,302,0.0,590,-3.7446839570999146,0.018872854113578797,3220,0.8389720797538758,0.0003
1024000,5120,-0.621337628364563,316,0.0,620,-3.848207783699036,0.15412813983857632,3234,0.8314539551734924,0.0003
1075200,5376,-0.6521792411804199,331,0.0,650,-3.9249103546142576,0.02038729265332222,3243,0.8240013301372529,0.0003
1126400,5632,-0.6824635028839111,346,0.0,680,-4.004997730255127,0.03703288370743394,3253,0.8166144549846649,0.0003
1177600,5888,-0.7121901094913483,361,0.0,710,-4.099120044708252,0.03689242098480463,3261,0.8092926740646362,0.0003
1228800,6144,-0.7434873104095459,376,0.0,740,-4.197003507614136,0.09632941111922264,3267,0.8020408391952515,0.0003
1280000,6400,-0.7824315369129181,390,0.0,780,-4.298600864410401,0.055448667425662276,3276,0.7924710035324096,0.0003
1331200,6656,-0.8135439395904541,405,0.0,810,-4.388257026672363,0.0578297108411789,3283,0.7853725552558899,0.0003
1382400,6912,-0.8442252039909363,420,0.0,840,-4.47076735496521,0.016851298697292804,3290,0.7783358752727508,0.0003
1433600,7168,-0.8741581022739411,434,0.0,870,-4.554690551757813,0.01647743210196495,3296,0.7713605165481567,0.0003
1484800,7424,-0.9047271192073822,450,0.0,900,-4.642342805862427,0.07393880197778344,3298,0.7644511759281158,0.0003
