#{"t_start": 1778450065.5781083, "env_id": "MujocoUR3PushSimpleEnv"}
r,l,t,is_success
-50.0,50,6.007379,False
-50.0,50,7.032784,False
-50.0,50,8.012703,False
-50.0,50,8.986758,False
-50.0,50,9.997377,False
-50.0,50,10.991163,False
-50.0,50,11.977591,False
-50.0,50,12.953552,False
-50.0,50,13.930102,False
-50.0,50,14.90974,False
-50.0,50,15.902229,False
-50.0,50,16.874115,False
-50.0,50,17.853966,False
-50.0,50,18.834017,False
-50.0,50,19.82568,False
-50.0,50,20.826259,False
-50.0,50,21.823091,False
-50.0,50,22.845168,False
-50.0,50,23.831314,False
-50.0,50,24.830953,False
-50.0,50,25.85137,False
-50.0,50,26.820693,False
-50.0,50,27.819651,False
-50.0,50,28.808704,False
-50.0,50,29.873378,False
-50.0,50,30.897265,False
-50.0,50,31.883982,False
-50.0,50,32.881301,False
-50.0,50,33.864009,False
-50.0,50,34.862899,False
-50.0,50,35.855792,False
-50.0,50,36.837492,False
-50.0,50,37.845747,False
-50.0,50,38.827795,False
-50.0,50,39.804648,False
-50.0,50,40.789641,False
-50.0,50,41.778828,False
-50.0,50,42.781049,False
-50.0,50,43.776087,False
-50.0,50,44.760655,False
-50.0,50,70.188743,False
-50.0,50,71.181824,False
-50.0,50,72.152021,False
-50.0,50,73.15979,False
-50.0,50,74.140184,False
-50.0,50,75.102109,False
-50.0,50,76.086245,False
-50.0,50,77.060133,False
-50.0,50,78.056964,False
-50.0,50,79.043959,False
-50.0,50,127.533506,False
-50.0,50,128.525689,False
-50.0,50,129.505706,False
-50.0,50,130.490935,False
-50.0,50,131.465226,False
-50.0,50,132.46523,False
-50.0,50,133.468323,False
-50.0,50,134.46393,False
-50.0,50,135.462213,False
-50.0,50,136.450375,False
-50.0,50,137.427183,False
-50.0,50,138.401027,False
-50.0,50,139.378034,False
-50.0,50,140.354654,False
-50.0,50,141.37148,False
-50.0,50,142.348395,False
-50.0,50,143.343485,False
-50.0,50,144.335589,False
-50.0,50,145.316495,False
-50.0,50,146.302062,False
-50.0,50,147.28677,False
-50.0,50,148.291628,False
-50.0,50,149.279838,False
-50.0,50,150.266119,False
-50.0,50,151.243649,False
-50.0,50,152.224432,False
-50.0,50,153.216984,False
-50.0,50,154.224002,False
-50.0,50,155.215943,False
-50.0,50,156.180199,False
-50.0,50,157.141003,False
-50.0,50,183.275922,False
-50.0,50,184.252942,False
-50.0,50,185.252445,False
-50.0,50,186.238575,False
-50.0,50,187.216339,False
-50.0,50,188.207428,False
-50.0,50,189.198529,False
-50.0,50,190.185156,False
-50.0,50,191.170886,False
-50.0,50,192.157322,False
-50.0,50,193.140632,False
-50.0,50,194.125316,False
-50.0,50,195.144515,False
-50.0,50,196.148556,False
-50.0,50,197.131511,False
-50.0,50,198.121136,False
-3.0,50,199.107247,True
-50.0,50,200.094412,False
-50.0,50,201.08383,False
-50.0,50,247.808662,False
-50.0,50,248.82357,False
-50.0,50,249.796059,False
-50.0,50,250.776506,False
-50.0,50,251.753509,False
-50.0,50,252.729948,False
-50.0,50,253.712904,False
-50.0,50,254.691072,False
-50.0,50,255.675718,False
-50.0,50,256.665811,False
-50.0,50,257.64776,False
-50.0,50,258.633172,False
-50.0,50,259.616462,False
-50.0,50,260.591055,False
-50.0,50,261.563929,False
-50.0,50,262.54586,False
-50.0,50,263.523694,False
-50.0,50,264.511231,False
-50.0,50,265.478995,False
-50.0,50,266.466978,False
-50.0,50,267.470634,False
-50.0,50,268.454275,False
-50.0,50,294.255984,False
-50.0,50,295.24351,False
0.0,50,296.231291,True
-50.0,50,297.226481,False
-50.0,50,298.195009,False
-50.0,50,299.174706,False
-50.0,50,300.144847,False
-50.0,50,301.110918,False
-50.0,50,302.103435,False
-50.0,50,303.103174,False
-50.0,50,304.11293,False
-50.0,50,305.103258,False
-50.0,50,306.106313,False
