#{"t_start": 1778450065.505618, "env_id": "MujocoUR3PushSimpleEnv"}
r,l,t,is_success
-50.0,50,6.079368,False
-50.0,50,7.105274,False
-50.0,50,8.083689,False
-50.0,50,9.061253,False
-50.0,50,10.07037,False
-50.0,50,11.060637,False
-50.0,50,12.050081,False
-50.0,50,13.023862,False
-50.0,50,14.004091,False
-50.0,50,14.984227,False
-50.0,50,15.972192,False
-50.0,50,16.948605,False
-50.0,50,17.925956,False
-50.0,50,18.905007,False
-50.0,50,19.89767,False
-50.0,50,20.89875,False
-50.0,50,21.895581,False
-50.0,50,22.918658,False
-50.0,50,23.902805,False
-50.0,50,24.903942,False
-50.0,50,25.920335,False
-50.0,50,26.892685,False
-50.0,50,27.892141,False
-50.0,50,28.882198,False
-50.0,50,29.946369,False
-50.0,50,30.97026,False
-50.0,50,31.956473,False
-50.0,50,32.950272,False
-50.0,50,33.934477,False
-50.0,50,34.935389,False
-50.0,50,35.926783,False
-50.0,50,36.91048,False
-50.0,50,37.919734,False
-50.0,50,38.899785,False
-50.0,50,39.880136,False
-50.0,50,40.861126,False
-50.0,50,41.849809,False
-50.0,50,42.852039,False
-50.0,50,43.850075,False
-50.0,50,44.832645,False
-50.0,50,70.261234,False
-50.0,50,71.250375,False
-50.0,50,72.225009,False
-50.0,50,73.234282,False
-50.0,50,74.214175,False
-50.0,50,75.176096,False
-50.0,50,76.158236,False
-50.0,50,77.133622,False
-50.0,50,78.129955,False
-50.0,50,79.11445,False
-50.0,50,127.602497,False
-50.0,50,128.59818,False
-50.0,50,129.577698,False
-50.0,50,130.563426,False
-50.0,50,131.538716,False
-50.0,50,132.537219,False
-50.0,50,133.53981,False
-50.0,50,134.534362,False
-50.0,50,135.535719,False
-50.0,50,136.521359,False
-50.0,50,137.498178,False
-50.0,50,138.472511,False
-50.0,50,139.450524,False
-50.0,50,140.426139,False
-50.0,50,141.441108,False
-50.0,50,142.422412,False
-50.0,50,143.415475,False
-50.0,50,144.406055,False
-50.0,50,145.388489,False
-50.0,50,146.370971,False
-50.0,50,147.35926,False
-50.0,50,148.364118,False
-50.0,50,149.351828,False
-50.0,50,150.338108,False
-50.0,50,151.315647,False
-50.0,50,152.296922,False
-50.0,50,153.289968,False
-50.0,50,154.297493,False
-50.0,50,155.289433,False
-50.0,50,156.255693,False
-50.0,50,157.215492,False
-50.0,50,183.347912,False
-50.0,50,184.324934,False
-50.0,50,185.323431,False
-50.0,50,186.312561,False
-50.0,50,187.28983,False
-50.0,50,188.280923,False
-50.0,50,189.272023,False
-50.0,50,190.256643,False
-50.0,50,191.242376,False
-50.0,50,192.229812,False
-50.0,50,193.213624,False
-50.0,50,194.197305,False
-50.0,50,195.216006,False
-50.0,50,196.220031,False
-50.0,50,197.202004,False
-50.0,50,198.193125,False
-50.0,50,199.179738,False
-50.0,50,200.1679,False
-50.0,50,201.15682,False
-50.0,50,247.879131,False
-50.0,50,248.89606,False
-50.0,50,249.868549,False
-50.0,50,250.850499,False
-50.0,50,251.826997,False
-50.0,50,252.803936,False
-50.0,50,253.785394,False
-50.0,50,254.759757,False
-50.0,50,255.745208,False
-50.0,50,256.739302,False
-50.0,50,257.72076,False
-50.0,50,258.704164,False
-50.0,50,259.687454,False
-50.0,50,260.663545,False
-50.0,50,261.635414,False
-50.0,50,262.620862,False
-50.0,50,263.595181,False
-50.0,50,264.583721,False
-50.0,50,265.550987,False
-50.0,50,266.538966,False
-50.0,50,267.542623,False
-50.0,50,268.526264,False
-50.0,50,294.326056,False
-50.0,50,295.316499,False
-50.0,50,296.303781,False
-50.0,50,297.29947,False
-50.0,50,298.2695,False
-50.0,50,299.246696,False
-50.0,50,300.214335,False
-50.0,50,301.183408,False
-50.0,50,302.175925,False
-50.0,50,303.172657,False
-50.0,50,304.18542,False
-50.0,50,305.176249,False
-50.0,50,306.180813,False
-50.0,50,307.155141,False
-50.0,50,308.220995,False
-50.0,50,309.203353,False
-50.0,50,310.190185,False
-50.0,50,311.167143,False
-50.0,50,312.154713,False
-50.0,50,313.128115,False
-50.0,50,314.159364,False
-50.0,50,315.153036,False
-50.0,50,316.143282,False
-50.0,50,317.134327,False
-50.0,50,318.126659,False
-50.0,50,319.124614,False
-50.0,50,320.13646,False
-50.0,50,321.114789,False
-50.0,50,368.777039,False
-50.0,50,369.76177,False
-50.0,50,370.730057,False
-50.0,50,371.721794,False
-50.0,50,372.693288,False
-50.0,50,373.667736,False
-50.0,50,374.637928,False
-50.0,50,375.633423,False
-50.0,50,376.617164,False
-50.0,50,377.600363,False
-50.0,50,378.595484,False
-50.0,50,379.587937,False
-50.0,50,380.548964,False
-50.0,50,406.13377,False
-50.0,50,407.114573,False
-50.0,50,408.08907,False
-50.0,50,409.097028,False
-50.0,50,410.069111,False
-50.0,50,411.056632,False
-50.0,50,412.0587,False
-50.0,50,413.049902,False
-50.0,50,414.035664,False
-50.0,50,415.022355,False
-50.0,50,416.013998,False
-50.0,50,416.995273,False
-50.0,50,417.99381,False
-50.0,50,418.969943,False
-50.0,50,419.951748,False
-50.0,50,420.936285,False
-50.0,50,421.916817,False
-50.0,50,422.924599,False
-50.0,50,423.909787,False
-50.0,50,424.905854,False
-50.0,50,425.886609,False
-50.0,50,426.876333,False
-50.0,50,427.869578,False
-50.0,50,428.860292,False
-50.0,50,429.8346,False
-50.0,50,430.818338,False
-50.0,50,431.798022,False
-50.0,50,432.81094,False
-50.0,50,433.798543,False
-50.0,50,434.784252,False
-50.0,50,435.785383,False
-50.0,50,436.78139,False
-50.0,50,437.758048,False
-50.0,50,438.731452,False
-50.0,50,439.707533,False
-50.0,50,440.685478,False
-50.0,50,441.679775,False
-50.0,50,488.694968,False
-50.0,50,489.690608,False
-50.0,50,490.663526,False
-50.0,50,491.647187,False
-50.0,50,511.814368,False
-50.0,50,512.622133,False
-50.0,50,513.436239,False
-50.0,50,514.262974,False
-50.0,50,515.079276,False
-50.0,50,515.889616,False
-50.0,50,516.719735,False
-50.0,50,517.535257,False
-50.0,50,518.347364,False
-50.0,50,519.154696,False
-50.0,50,519.969541,False
-50.0,50,520.771939,False
-50.0,50,521.584275,False
-50.0,50,522.394443,False
-50.0,50,523.201559,False
-50.0,50,524.000698,False
-50.0,50,524.802206,False
-50.0,50,525.611217,False
-50.0,50,526.419472,False
-50.0,50,527.241393,False
-50.0,50,528.304814,False
-50.0,50,529.28247,False
-50.0,50,530.300009,False
-50.0,50,531.35962,False
-50.0,50,532.357007,False
-50.0,50,533.338158,False
-50.0,50,534.349023,False
-50.0,50,535.358123,False
-50.0,50,536.345783,False
-50.0,50,537.337498,False
-50.0,50,538.338464,False
-50.0,50,539.337495,False
-50.0,50,540.31166,False
-50.0,50,541.33075,False
-50.0,50,542.337274,False
-50.0,50,543.338117,False
-50.0,50,544.325266,False
-50.0,50,545.310388,False
-50.0,50,546.301779,False
-50.0,50,547.283209,False
-50.0,50,548.277625,False
-50.0,50,574.239452,False
-50.0,50,575.233356,False
-50.0,50,576.209422,False
-50.0,50,577.201359,False
-50.0,50,578.207588,False
-50.0,50,625.432175,False
-50.0,50,626.414964,False
-50.0,50,627.387647,False
-50.0,50,628.365647,False
-50.0,50,629.335304,False
-50.0,50,630.305326,False
-50.0,50,631.319232,False
-50.0,50,632.433538,False
-50.0,50,633.432777,False
-50.0,50,634.38299,False
-50.0,50,635.283203,False
-50.0,50,636.103398,False
-50.0,50,636.922957,False
-50.0,50,637.745409,False
-50.0,50,638.578198,False
-50.0,50,639.404895,False
-50.0,50,640.240832,False
-50.0,50,641.101417,False
-50.0,50,641.924144,False
-50.0,50,642.750661,False
-50.0,50,643.642026,False
-50.0,50,644.665671,False
-50.0,50,645.654329,False
-50.0,50,646.64095,False
-50.0,50,647.637217,False
-50.0,50,648.620797,False
-50.0,50,649.587391,False
-50.0,50,650.576271,False
-50.0,50,651.550031,False
-50.0,50,652.514306,False
-50.0,50,653.462691,False
-50.0,50,654.435185,False
-50.0,50,655.393173,False
-50.0,50,656.383733,False
-50.0,50,657.35798,False
-50.0,50,658.345338,False
-50.0,50,683.551105,False
-50.0,50,684.543758,False
