#{"t_start": 1778448819.8113966, "env_id": "MujocoUR3PushSimpleEnv"}
r,l,t,is_success
-50.0,50,4.89373,False
-50.0,50,5.705965,False
-50.0,50,6.506451,False
-50.0,50,7.315333,False
-50.0,50,8.118338,False
-50.0,50,8.936862,False
-50.0,50,9.735581,False
-50.0,50,10.543699,False
-50.0,50,11.362827,False
-50.0,50,12.176709,False
-50.0,50,12.978598,False
-50.0,50,13.785675,False
-50.0,50,14.588691,False
-50.0,50,15.393874,False
-50.0,50,16.203326,False
-50.0,50,17.010609,False
-50.0,50,17.829477,False
-50.0,50,18.648444,False
-50.0,50,19.462213,False
-50.0,50,20.282263,False
-50.0,50,21.11633,False
-50.0,50,21.929637,False
-50.0,50,22.793869,False
-50.0,50,23.797218,False
-50.0,50,24.815351,False
-50.0,50,25.768374,False
-50.0,50,26.656434,False
-50.0,50,27.567497,False
-50.0,50,28.538905,False
-50.0,50,29.42468,False
-50.0,50,30.441384,False
-50.0,50,31.38506,False
-50.0,50,32.330416,False
-50.0,50,33.214539,False
-50.0,50,34.074231,False
-50.0,50,34.955314,False
-50.0,50,35.819309,False
-50.0,50,36.676072,False
-50.0,50,37.559517,False
-50.0,50,38.405134,False
-50.0,50,52.119157,False
-50.0,50,52.992706,False
-50.0,50,53.849048,False
-50.0,50,54.707967,False
-50.0,50,55.584252,False
-50.0,50,56.442698,False
-50.0,50,57.321245,False
-50.0,50,58.199428,False
-50.0,50,59.076436,False
-50.0,50,59.96977,False
-50.0,50,99.643326,False
-50.0,50,100.600078,False
-50.0,50,101.55133,False
-50.0,50,102.46456,False
-50.0,50,103.4054,False
-50.0,50,104.347147,False
-50.0,50,105.255549,False
-50.0,50,106.19853,False
-50.0,50,107.122335,False
-50.0,50,108.050054,False
-50.0,50,108.967858,False
-50.0,50,109.883555,False
-50.0,50,110.854878,False
-50.0,50,111.766903,False
-50.0,50,112.670712,False
-50.0,50,113.583107,False
-50.0,50,114.500295,False
-50.0,50,115.41646,False
-50.0,50,116.339961,False
-50.0,50,117.291566,False
-50.0,50,118.228156,False
-50.0,50,119.159199,False
-50.0,50,120.099087,False
-50.0,50,121.027339,False
-50.0,50,121.950437,False
-50.0,50,122.872882,False
-50.0,50,123.787111,False
-50.0,50,124.718637,False
-50.0,50,125.63509,False
-50.0,50,126.457132,False
