train/loss,train/entropy_loss,time/total_timesteps,train/value_loss,eval/success_rate,train/clip_range,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/learning_rate,train/std,train/explained_variance,eval/mean_reward,train/clip_fraction,eval/mean_ep_length,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
0.0255893524736166,-2.139932222478092,263840,0.034421009453581064,0.0,0.2,-0.00501487460496719,150,0.0074180784,0.00027378559999999996,0.701356053352356,0.9971901054959744,-7.47797881,0.063275146484375,50.0,,,,,
-0.0013113003224134445,-2.07639245884493,294912,0.033799468056167827,,0.2,-0.00499917072847893,160,0.006936981,0.0002721472,0.6794561147689819,0.9973012693226337,,0.060546875,,-6.81593949,50.0,8,472,277
0.0018872832879424095,-1.83734141709283,363840,0.021276024826147478,0.0,0.2,-0.0030006884546310173,210,0.00468451,0.0002639552,0.6037410497665405,0.9988678592490032,-7.458182260000002,0.0463134765625,50.0,,,,,
-0.001044202595949173,-1.6726700581144542,425984,0.02095274864732346,,0.2,-0.002681926517834654,240,0.006445367,0.00025903999999999993,0.5530421733856201,0.9991214013425633,,0.044549560546875,,-7.48184923,50.0,16,1060,247
-0.0013778116554021835,-1.5490735727827996,463840,0.020012592479179147,0.0,0.2,-0.001448694384089322,270,0.0042704716,0.0002541248,0.5231961011886597,0.9993456734810024,-7.4513221099999996,0.03782958984375,50.0,,,,,
0.019100334495306015,-1.4102941843681038,557056,0.016706099952898512,,0.2,-0.0008352402628588607,320,0.0041239997,0.0002459328,0.48972371220588684,0.9995300850423519,,0.03411865234375,,-7.535592380000001,50.0,24,1610,244
0.009103952907025814,-1.3776666428428144,563840,0.02036975191476813,0.01,0.2,-0.0013594508733149268,330,0.0040379204,0.00024429439999999996,0.47936707735061646,0.9994579042540863,-6.9245806000000005,0.0327880859375,50.0,,,,,
0.03419485315680504,-1.2410941985435784,663840,0.020069390215940074,0.01,0.2,-0.0005148094813193893,390,0.0033791785,0.00023446399999999996,0.45066240429878235,0.9995095483609475,-6.842224599999998,0.03057861328125,50.0,,,,,
-0.0053406693041324615,-1.2289540785830468,688128,0.0169983363168285,,0.2,-0.0007758122177619952,400,0.0039349645,0.00023282559999999997,0.4469258487224579,0.9995912475860678,,0.02742919921875,,-6.680768049999999,50.0,32,2207,237
0.012129126116633415,-1.1847198355477304,763840,0.017509209666604873,0.0,0.2,-0.0017961319550522602,450,0.0046258727,0.0002246336,0.43601757287979126,0.9996057927783113,-6.646962159999999,0.038275146484375,50.0,,,,,
