train/learning_rate,train/entropy_loss,train/value_loss,time/time_elapsed,train/loss,train/n_updates,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/clip_range,rollout/ep_rew_mean,train/explained_variance,train/approx_kl,time/total_timesteps,train/policy_gradient_loss,train/std,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.0002975424,-2.8381436631083488,0.3186628126190044,113,0.09403115510940552,30,50.0,288,4,0.06104736328125,0.2,-6.9916418600000005,0.8069825321435928,0.0063478174,32768,-0.004608848234784091,0.9991159439086914,,,
0.0002942656,-2.6926383335143327,0.1303267920797225,250,0.00046910718083381653,70,50.0,261,8,0.11759033203125,0.2,-7.236169030000001,0.9775980450212955,0.0098739825,65536,-0.009809256863809424,0.9251130819320679,,,
0.00029098879999999995,-2.5543749544769527,0.06125320754072163,363,-0.0068247877061367035,110,50.0,270,12,0.08990478515625,0.2,-6.97222532,0.9923717034980655,0.008601682,98304,-0.007549191828002222,0.8645933270454407,,,
0.0002901696,-2.522854270413518,0.06037497374200029,,-0.010464414954185486,120,,,,0.06441650390625,0.2,,0.9934585141018033,0.006459942,100000,-0.005828513983942685,0.8504456877708435,-7.431534269999999,0.0,50.0
0.00028771199999999997,-2.3944592701271175,0.03822467961363145,515,-0.03029216267168522,150,50.0,254,16,0.09306640625,0.2,-6.6282727900000005,0.9972786738071591,0.009376634,131072,-0.009224865165742812,0.7960503101348877,,,
0.0002844352,-2.2211237283423544,0.02683709511111374,628,-0.01683223247528076,190,50.0,260,20,0.046826171875,0.2,-7.457691779999999,0.9984636758454144,0.004832715,163840,-0.003535422032655333,0.731395423412323,,,
0.00028115839999999997,-2.097841837257147,0.01991823221105733,742,-0.0370856337249279,230,50.0,264,24,0.04522705078125,0.2,-7.431081069999999,0.9989801282063127,0.0054772473,196608,-0.003204662282951176,0.6879769563674927,,,
0.00028033919999999996,-2.063857984729111,0.01821863134828163,,-0.01954163983464241,240,,,,0.04801025390625,0.2,,0.9991211115848273,0.0053200247,200000,-0.0028908349406265186,0.6773356199264526,-7.47791978,0.0,50.0
0.0002778816,-2.0378245750442145,0.017456345181562936,892,-0.010176360607147217,270,50.0,257,28,0.03653564453125,0.2,-7.60346093,0.9993437381344847,0.004342072,229376,-0.0013796881372400093,0.6722716093063354,,,
