time/time_elapsed,train/critic_loss,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef,rollout/success_rate,time/episodes,train/learning_rate,train/actor_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward,eval/success_rate
318,0.03725952263921499,2889,921600,-0.5607312381267547,0.8465624392032624,0.0,4608,0.0003,-3.6527460336685182,560,,,
335,0.018965770304203034,2895,972800,-0.5914402604103088,0.83897163271904,0.0,4864,0.0003,-3.741278576850891,590,,,
354,0.11579328756779432,2890,1024000,-0.6213423907756805,0.8314535021781921,0.0,5120,0.0003,-3.84608736038208,620,,,
372,0.020597112644463778,2889,1075200,-0.6521822571754455,0.8240008473396301,0.0,5376,0.0003,-3.922433686256409,650,,,
389,0.01802835362032056,2895,1126400,-0.6824627876281738,0.8166138529777527,0.0,5632,0.0003,-4.003196382522583,680,,,
406,0.018359427619725466,2900,1177600,-0.7121288418769837,0.8092921614646912,0.0,5888,0.0003,-4.097005939483642,710,,,
422,0.01927068829536438,2905,1228800,-0.7434868812561035,0.802040433883667,0.0,6144,0.0003,-4.182649230957031,740,,,
439,0.016413801349699497,2910,1280000,-0.7824235498905182,0.7924706280231476,0.0,6400,0.0003,-4.284602785110474,780,,,
457,0.018372400663793087,2911,1331200,-0.813531082868576,0.7853722333908081,0.0,6656,0.0003,-4.377900218963623,810,,,
473,0.01692287754267454,2918,1382400,-0.8442237555980683,0.7783356308937073,0.0,6912,0.0003,-4.46501932144165,840,,,
489,0.016360625345259904,2927,1433600,-0.8741663992404938,0.7713602960109711,0.0,7168,0.0003,-4.548995923995972,870,,,
504,0.05461581908166409,2941,1484800,-0.9047326803207397,0.7644509315490723,0.0,7424,0.0003,-4.632137632369995,900,,,
520,0.11709902603179216,2950,1536000,-0.9345120251178741,0.757602196931839,0.0,7680,0.0003,-4.715858411788941,930,,,
537,0.096239859983325,2953,1587200,-0.9651754260063171,0.7508111655712127,0.0,7936,0.0003,-4.79487419128418,960,,,
553,0.09535708855837584,2958,1638400,-0.9960889995098114,0.7440811276435852,0.01,8192,0.0003,-4.882940053939819,990,,,
570,0.09577744547277689,2960,1689600,-1.0350786328315735,0.7352031707763672,0.0,8448,0.0003,-4.978588581085205,1030,,,
587,0.1337753831408918,2961,1740800,-1.065230667591095,0.728616601228714,0.0,8704,0.0003,-5.080069589614868,1060,,,
604,0.11260649058967828,2962,1792000,-1.0955384135246278,0.7220879137516022,0.0,8960,0.0003,-5.155055856704712,1090,,,
622,0.055652914196252824,2962,1843200,-1.1274783134460449,0.7156188189983368,0.0,9216,0.0003,-5.240432596206665,1120,,,
639,0.09460097290575505,2963,1894400,-1.1560809850692748,0.7092088043689728,0.0,9472,0.0003,-5.31003851890564,1150,,,
656,0.1100895894691348,2964,1945600,-1.1865872979164123,0.7028557419776916,0.0,9728,0.0003,-5.376914739608765,1180,,,
673,0.09524666965007782,2962,1996800,-1.2161219000816346,0.6965577125549316,0.0,9984,0.0003,-5.458434391021728,1210,,,
,0.11456120759248734,,1999872,-1.2285106420516967,0.6944715082645416,,,0.0003,-5.484493732452393,1220,200.0,-49.358780114352705,0.0
889,0.053684047888964415,2303,2048000,-1.2487772107124329,0.6903150379657745,0.0,10240,0.0003,-5.527435779571533,1240,,,
906,0.05420867269858718,2315,2099200,-1.287792682647705,0.6820791840553284,0.0,10496,0.0003,-5.614430952072143,1280,,,
924,0.0318969314917922,2327,2150400,-1.3173290252685548,0.6759672462940216,0.0,10752,0.0003,-5.695499849319458,1310,,,
941,0.11049433900043368,2338,2201600,-1.347516906261444,0.6699110507965088,0.0,11008,0.0003,-5.767800617218017,1340,,,
958,0.09175847014412283,2350,2252800,-1.3790934085845947,0.6639080941677094,0.0,11264,0.0003,-5.830659627914429,1370,,,
975,0.07271802723407746,2360,2304000,-1.4092965960502624,0.6579594373703003,0.01,11520,0.0003,-5.896048879623413,1400,,,
993,0.0521976288408041,2371,2355200,-1.4380279421806335,0.6520632565021515,0.01,11776,0.0003,-5.953763484954834,1430,,,
1010,0.08951106183230877,2381,2406400,-1.4707668900489808,0.646220737695694,0.0,12032,0.0003,-6.025304746627808,1460,,,
