time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,train/std,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/explained_variance,eval/mean_ep_length,train/clip_fraction,train/n_updates,train/entropy_loss,train/loss,eval/success_rate,eval/mean_reward
23986176,,,,,,0.7483943700790405,0.2,0.00010678399999999999,-0.0014848412846902193,0.0061246753,0.0004902957620686266,0.9996914753282908,37.44,0.063525390625,900,-2.2591386617394162,-0.027111954987049103,0.92,-5.458555698394775
24117248,35.59,13130,46,-5.6640916,1836,,,,,,,,,,,,,,
24641536,39.42,13463,47,-6.9943542,1830,0.7437511682510376,0.2,9.804586666666666e-05,-0.0015407462395614856,0.0060089743,0.0005495754790501905,0.999742782994872,,0.06263179779052734,920,-2.247708432143554,-0.014973902143537998,,
24985600,,,,,,0.7393211126327515,0.2,8.930773333333331e-05,-0.0013640113926271624,0.0056710327,0.0006720676018829863,0.9997558317845687,65.36,0.05720529556274414,940,-2.234032540093176,-0.027595942839980125,0.8,-12.987569808959961
25165824,30.41,13825,48,-3.8828907,1820,,,,,,,,,,,,,,
25690112,42.93,14161,49,-7.2705913,1814,0.732586145401001,0.2,8.056960000000002e-05,-0.001610999925287615,0.005749222,0.00048215380653005013,0.9996627914370038,,0.05528583526611328,960,-2.2174749166239054,-0.027283363044261932,,
25985024,,,,,,0.728814423084259,0.2,7.183146666666668e-05,-0.0014471155763089883,0.0051050135,0.0005010279430976538,0.9997113000717945,29.14,0.050080299377441406,980,-2.2061390035785733,-0.02033919282257557,0.98,-4.258268356323242
26214400,32.6,14526,50,-204.09694,1804,,,,,,,,,,,,,,
26738688,38.74,14863,51,-6.569176,1798,0.7255169153213501,0.2,6.309333333333333e-05,-0.0015264110776115557,0.004907362,0.0004367909851524132,0.999715676647611,,0.04626026153564453,1000,-2.1974016565596686,-0.027530226856470108,,
26984448,,,,,,0.7207012176513672,0.2,5.435519999999999e-05,-0.0016709361707853531,0.00485456,0.0004466633308069845,0.9997556328889914,34.62,0.04520149230957031,1020,-2.183184256288223,-0.03036941960453987,0.94,-6.091256141662598
27262976,36.66,15227,52,-5.0720615,1790,,,,,,,,,,,,,,
27787264,30.91,15564,53,-4.3800097,1785,0.7155938744544983,0.2,4.5617066666666654e-05,-0.0014638722526569836,0.004583268,0.00045766519725276567,0.9997966687660664,,0.03999538421630859,1040,-2.169758725212887,-0.02416503243148327,,
27983872,,,,,,0.7122564315795898,0.2,3.687893333333331e-05,-0.0015529326140040212,0.0042290045,0.0004174992241928521,0.9998237989057088,34.6,0.035976314544677736,1060,-2.1603977126069367,-0.024755354970693588,0.96,-4.92727518081665
28311552,39.82,15925,54,-6.2007384,1777,,,,,,,,,,,,,,
28835840,43.26,16260,55,-6.9088287,1773,0.7074731588363647,0.2,2.814080000000002e-05,-0.0014872938834855631,0.004043199,0.00039587292398692855,0.999813161601196,,0.031197261810302735,1080,-2.148323038336821,-0.02805180661380291,,
28983296,,,,,,0.7017785310745239,0.2,1.940266666666668e-05,-0.0015661482479117695,0.0036765556,0.00042008592832019074,0.999827751351404,22.5,0.027278327941894533,1100,-2.133707750542089,-0.027089344337582588,1.0,-2.328709602355957
29360128,38.38,16605,56,-5.372835,1768,,,,,,,,,,,,,,
29884416,42.31,16942,57,-7.0745697,1763,0.6985965967178345,0.2,1.0664533333333338e-05,-0.0012373981163136705,0.0031266008,0.00039373697385798324,0.9998312848911155,,0.018366241455078126,1120,-2.1232605261960997,-0.02040020562708378,,
29982720,,,,,,0.6983692049980164,0.2,1.926399999999995e-06,-0.0006778864316629551,0.0018959123,0.13175986723774713,0.9781526569277048,38.32,0.006444454193115234,1140,-2.1189572690986096,-0.019659830257296562,0.9,-5.9283061027526855
30408704,38.96,17311,58,-7.1895986,1756,,,,,,,,,,,,,,
