eval/mean_ep_length,train/explained_variance,train/policy_gradient_loss,eval/mean_reward,time/total_timesteps,train/approx_kl,train/n_updates,eval/success_rate,train/clip_fraction,train/loss,train/std,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range
78.75,0.9498628526926041,-0.0015926928117551142,-14.93239903114736,41321472,0.0026629437,3120,0.35,0.016179656982421874,0.7210569381713867,2.175830364227295,-4.387050758302212,1.5741965867578984,5.227392e-05,0.2
91.0,0.39550185203552246,-0.00023166785977082326,-19.776657936349512,43321344,0.00041169493,3270,0.15,0.001503753662109375,1014.3682250976562,2.195897102355957,-4.402021518349647,3319.298657798767,4.047743999999998e-05,0.2
87.25,0.404338002204895,-0.0006201470838277601,-17.302213852480055,45321216,0.00089544035,3420,0.25,0.002728271484375,972.6351318359375,2.3583362102508545,-4.54404077231884,3303.7698060035705,2.8680959999999996e-05,0.2
84.85,0.40767496824264526,-0.0001508461657067528,-15.855854885652661,47321088,0.0006953683,3580,0.25,0.00087127685546875,2077.511474609375,2.4698867797851562,-4.638539582490921,4936.8008693695065,1.6098047999999985e-05,0.2
90.0,0.41203707456588745,-9.419864545634482e-05,-15.811923752725125,49320960,0.00038242614,3730,0.15,3.662109375e-05,1128.4447021484375,2.5131289958953857,-4.675081296265125,4851.8442295074465,4.3015679999999996e-06,0.2
