train/learning_rate,train/entropy_loss,train/value_loss,eval/mean_ep_length,train/clip_fraction,train/approx_kl,train/clip_range,train/std,train/explained_variance,train/policy_gradient_loss,time/total_timesteps,eval/mean_reward,train/n_updates,eval/success_rate,train/loss
0.00026407040000000007,-0.8718882845714688,5.660440072417259,67.6,0.06718673706054687,0.0053441627,0.2,0.37572163343429565,0.9059275612235069,-0.00021988598145981087,23626752,-7.964392388612032,1790,0.45,2.5069422721862793
0.0002444096,-0.8359762616455555,5.273505319654942,66.85,0.07157516479492188,0.006952472,0.2,0.36833956837654114,0.9094862341880798,0.00014959666368667967,25626624,-7.078782223537564,1940,0.5,2.4156100749969482
0.00022474880000000004,-0.8186782924458385,5.466321147978306,67.65,0.07414932250976562,0.0059804763,0.2,0.3649124503135681,0.9087483733892441,4.2629104791558346e-05,27626496,-8.321903635561466,2090,0.45,2.8308019638061523
0.00020377728,-0.7584627958014607,5.638000017404556,63.0,0.06905670166015625,0.006024412,0.2,0.3541003167629242,0.9020494520664215,-0.00028778360938304105,29626368,-5.447139011695981,2250,0.55,2.634355068206787
0.00018411648000000004,-0.7534446189180016,5.08382385969162,71.75,0.06663436889648437,0.0056544384,0.2,0.3534625470638275,0.9155909866094589,-0.0006089699036238017,31626240,-8.48110608831048,2400,0.4,2.383112668991089
0.00016445568,-0.7450291244313121,5.07547162771225,73.1,0.06482315063476562,0.005737929,0.2,0.35146379470825195,0.9069709107279778,-0.0006256163305806695,33626112,-7.747718413919211,2550,0.4,2.6813578605651855
0.00014479488000000002,-0.7208726083859801,4.666791767627001,59.45,0.051812744140625,0.005080031,0.2,0.34817400574684143,0.9171420559287071,-0.00024343078839592636,35625984,-2.858898049965501,2700,0.65,2.3345835208892822
0.00012382336,-0.6910227529704571,4.69551717415452,47.25,0.055149078369140625,0.005660598,0.2,0.3431895971298218,0.9142000079154968,-0.0006690839454677189,37625856,0.08957578800618649,2860,0.75,2.247602701187134
0.00010416256000000002,-0.6691925523802638,4.461904549598694,50.75,0.04637069702148437,0.0049239276,0.2,0.33900249004364014,0.9158426448702812,-0.0009945734731445556,39625728,-0.19424342662096022,3010,0.8,2.3314080238342285
8.450175999999998e-05,-0.6332226052880288,3.9840778067708014,55.9,0.042478179931640624,0.0049719624,0.2,0.3327074646949768,0.9207111671566963,-0.0013006940302147997,41625600,-1.949069321155548,3160,0.75,1.9891932010650635
6.484096000000001e-05,-0.6134930897504092,3.888958230614662,57.45,0.03667755126953125,0.004144313,0.2,0.3295195698738098,0.9225899428129196,-0.0011408831040171207,43625472,-3.000893869251013,3310,0.65,1.9072632789611816
4.386943999999998e-05,-0.5849122680723667,3.606165675073862,64.2,0.02883453369140625,0.003349769,0.2,0.3249363303184509,0.9278062582015991,-0.0012045953795677632,45625344,-5.461439476162195,3470,0.55,1.7776663303375244
2.4208640000000003e-05,-0.5834825456142425,3.425759356468916,64.7,0.017536163330078125,0.0029154248,0.2,0.3246157467365265,0.9282555356621742,-0.0011193944137630751,47625216,-4.151441234722734,3620,0.6,1.724967360496521
4.5478400000000256e-06,-0.5808734606951476,1334.8611133873462,61.6,1.678466796875e-05,0.0002563153,0.2,0.3241821527481079,0.03267258405685425,-0.0003074999458476668,49625088,-3.055711617693305,3770,0.65,302.3943176269531
