train/value_loss,train/entropy_loss,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,time/total_timesteps,train/std,time/iterations,train/clip_fraction,train/approx_kl,train/clip_range,rollout/ep_len_mean,time/fps,train/learning_rate,train/loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
0.5551793931052089,-2.8561739107593893,0.6178905963897705,142,-18.564498799999996,-0.004078511850093491,30,32768,1.0104893445968628,4,0.06929931640625,0.0064226184,0.2,100.0,229,0.0002975424,0.2724151313304901,,,
0.6209980753599667,-2.857817367464304,0.8924412578344345,289,-20.04790848,-0.0038048321792302888,70,65536,1.010419249534607,8,0.06153564453125,0.005654822,0.2,100.0,226,0.0002942656,0.14551644027233124,,,
0.766873919282807,-2.782215857133269,0.906194269657135,435,-20.01907813,-0.00214252505247714,110,98304,0.9684869647026062,12,0.04483642578125,0.0048363963,0.2,100.0,225,0.00029098879999999995,0.25252288579940796,,,
0.4989687382883858,-2.705151630565524,0.9457637965679169,582,-16.10207204,-0.004711653184131137,150,131072,0.9334276914596558,16,0.08079833984375,0.0076507432,0.2,100.0,225,0.00028771199999999997,0.23918582499027252,,,
0.6216290099313483,-2.60928699541837,0.9318056553602219,728,-14.6294096,-0.0043426042455394056,190,163840,0.8882768750190735,20,0.10899658203125,0.0090075545,0.2,100.0,224,0.0002844352,0.07288451492786407,,,
0.47702017573756167,-2.5375831082463263,0.961883407086134,901,-13.898252069999998,-0.0027264193326118403,230,196608,0.8620274066925049,24,0.10927734375,0.009464538,0.2,100.0,218,0.00028115839999999997,0.08553043752908707,,,
0.7984840426594019,-2.524320119433105,0.9319296404719353,,,-0.003186882543923275,240,200000,0.8527230620384216,,0.10562744140625,0.010053217,0.2,,,0.00028033919999999996,0.24009506404399872,0.0,-14.928672399999998,100.0
0.5616168856591685,-2.5158914828673007,0.9520372487604618,1183,-13.773142019999998,-0.003949935221680789,270,229376,0.8521559238433838,28,0.107373046875,0.009791197,0.2,100.0,193,0.0002778816,0.20775343477725983,,,
0.5142231279052794,-2.5200946571305396,0.9731963090598583,1341,-12.906596080000002,-0.0013455281379719964,310,262144,0.855265736579895,32,0.1191650390625,0.011116827,0.2,100.0,195,0.00027460479999999996,0.09387469291687012,,,
0.4470403293613344,-2.5509187282994388,0.9665475860238075,1488,-12.834606,-0.0032601994673314037,350,294912,0.8637027740478516,36,0.12369384765625,0.0096874535,0.2,100.0,198,0.000271328,0.033214278519153595,,,
0.4434169372892939,-2.5678842125460504,0.9463129006326199,1638,-12.2241111,-0.0036492564982836483,390,327680,0.8740445375442505,40,0.12333984375,0.011952794,0.2,100.0,200,0.00026805119999999996,0.09043633937835693,,,
0.5093767017300707,-2.5784373288974165,0.9533690810203552,1784,-12.27156763,-0.0023812041101336943,430,360448,0.8759653568267822,44,0.13875732421875,0.011956245,0.2,100.0,201,0.0002647744,0.16941744089126587,,,
0.6786844214540906,-2.5390338864177466,0.9662671871483326,1932,-11.64367739,-0.001981579301354941,470,393216,0.8587071895599365,48,0.1561279296875,0.016237833,0.2,100.0,203,0.0002614976,0.14155562222003937,,,
0.7554811991751194,-2.5291524924337865,0.9413726106286049,,,-0.003108979857643135,480,400000,0.8612385988235474,,0.14761962890625,0.014750766,0.2,,,0.0002606784,0.7681189775466919,0.0,-11.52231972,100.0
0.5472991870483384,-2.5469679528847338,0.9598218910396099,2203,-10.88489572,-0.0039267385880521035,510,425984,0.8685625791549683,52,0.17117919921875,0.016446281,0.2,100.0,193,0.0002582208,0.11076703667640686,,,
