time/total_timesteps,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef_loss,rollout/success_rate,time/time_elapsed,train/ent_coef,time/fps,eval/mean_ep_length,eval/mean_reward,eval/success_rate
972800,4864,15040,0.6303738278802484,3.895386296790093,0.0003,-11.40572603046894,0.0,661,0.012567154597491026,1470,,,
1024000,5120,15808,0.984051191713661,5.2857388108968735,0.0003,-5.987878328189254,0.0,696,0.010267713543726131,1469,,,
1075200,5376,16640,0.9024464269168675,14.009491515345871,0.0003,-7.699691399931908,0.01,732,0.008342609289684333,1467,,,
1126400,5632,17408,1.307893262244761,6.802268433384597,0.0003,-5.673174794763327,0.01,767,0.006891394019476138,1467,,,
1177600,5888,18240,1.0808300459757447,10.17280076816678,0.0003,-7.419224753975868,0.01,803,0.0056566300700069405,1465,,,
1228800,6144,19008,1.8595360997132957,14.704054305329919,0.0003,-1.7035132027231157,0.02,837,0.004855467974266503,1466,,,
1280000,6400,19840,2.1110256109386683,48.33864515135065,0.0003,5.287693579681218,0.01,872,0.004225795244565234,1466,,,
1331200,6656,20608,2.2119638063013554,30.297536121681333,0.0003,-4.840099244378507,0.01,908,0.0037282467746990733,1466,,,
1382400,6912,21440,3.3513586400076747,16.172790109645575,0.0003,-3.084928255993873,0.02,943,0.0032321091057383455,1464,,,
1433600,7168,22208,3.037253215909004,19.22057880461216,0.0003,1.8498907620087266,0.04,978,0.002994922444486292,1464,,,
1484800,7424,23040,2.4532461119815707,25.822790620848536,0.0003,0.9879290950484574,0.03,1014,0.0030489193777611945,1463,,,
1536000,7680,23808,1.7261061212047935,33.99043455906212,0.0003,3.2670142059214413,0.02,1048,0.003231229438824812,1464,,,
1587200,7936,24640,2.0276360977441072,48.18611732125282,0.0003,-1.7048945447895676,0.01,1085,0.0034188119789178018,1462,,,
1638400,8192,25408,2.338796650059521,41.32291803136468,0.0003,1.7818979383446276,0.06,1120,0.0035457837766443845,1462,,,
1689600,8448,26240,2.8676268896088004,69.57031873147935,0.0003,-0.2743814301211387,0.01,1148,0.0039554353134008124,1470,,,
1740800,8704,27008,3.1100420709699392,53.69254194200039,0.0003,-0.27269927179440856,0.02,1181,0.003795343542151386,1473,,,
1792000,8960,27840,2.2760613774880767,51.62490898929536,0.0003,1.143733462318778,0.02,1220,0.0037773383664898574,1468,,,
1843200,9216,28608,3.878642650321126,60.81898345518857,0.0003,-1.1925201201811433,0.01,1256,0.00395324361306848,1467,,,
