train/n_updates,train/ent_coef,train/actor_loss,train/learning_rate,time/time_elapsed,train/ent_coef_loss,train/critic_loss,time/total_timesteps,rollout/success_rate,time/episodes,time/fps
30,0.9926612794399261,-1.7992904782295227,0.0003,16,-0.024760630913078785,0.3999266937375069,51200,0.0,256,3081
60,0.9837252855300903,-2.376272511482239,0.0003,31,-0.05521366111934185,0.21563836187124252,102400,0.0,512,3226
90,0.9748833239078522,-2.467758893966675,0.0003,46,-0.08558907136321067,0.20352876111865043,153600,0.0,768,3298
120,0.9661299645900726,-2.518138027191162,0.0003,61,-0.11612022668123245,0.14120098426938058,204800,0.0,1024,3335
150,0.95745090842247,-2.5956235408782957,0.0003,76,-0.14623724073171615,0.1331819413229823,256000,0.0,1280,3365
