train/learning_rate,train/actor_loss,train/critic_loss,time/time_elapsed,train/ent_coef,train/ent_coef_loss,time/total_timesteps,rollout/success_rate,time/fps,time/episodes,train/n_updates,eval/mean_reward,eval/mean_ep_length,eval/success_rate
0.0003,-4.180448293685913,0.019230323284864424,413,0.8020405232906341,-0.7434870302677155,1228800,0.0,2973,6144,740,,,
0.0003,-4.283094596862793,0.016372732911258937,430,0.7924707293510437,-0.7824279725551605,1280000,0.0,2973,6400,780,,,
0.0003,-4.3765768051147464,0.018425057642161846,447,0.7853723108768463,-0.813535726070404,1331200,0.0,2973,6656,810,,,
0.0003,-4.464361953735351,0.016836187709122895,464,0.7783356845378876,-0.8442133963108063,1382400,0.0,2975,6912,840,,,
0.0003,-4.547745847702027,0.01640457073226571,481,0.7713603079319,-0.8741519987583161,1433600,0.0,2975,7168,870,,,
0.0003,-4.631382751464844,0.054596410132944584,499,0.7644509494304657,-0.9047299504280091,1484800,0.0,2973,7424,900,,,
0.0003,-4.715887498855591,0.11714035226032138,516,0.7576022326946259,-0.9345080256462097,1536000,0.0,2974,7680,930,,,
0.0003,-4.795427942276001,0.09618384409695864,533,0.7508111655712127,-0.9651646614074707,1587200,0.0,2974,7936,960,,,
0.0003,-4.88354868888855,0.09538610484451056,550,0.7440811276435852,-0.9960914373397827,1638400,0.01,2974,8192,990,,,
0.0003,-4.979939603805542,0.09585160380229354,568,0.7352031171321869,-1.0350703358650208,1689600,0.0,2973,8448,1030,,,
0.0003,-5.082325458526611,0.1336564352735877,585,0.7286165654659271,-1.0652255058288573,1740800,0.0,2971,8704,1060,,,
0.0003,-5.158186340332032,0.11243877904489637,603,0.7220878541469574,-1.0955415844917298,1792000,0.0,2971,8960,1090,,,
0.0003,-5.243952846527099,0.05543973483145237,620,0.715618759393692,-1.1274793982505797,1843200,0.0,2970,9216,1120,,,
0.0003,-5.316090202331543,0.09434508997946978,637,0.709208744764328,-1.1560903787612915,1894400,0.0,2970,9472,1150,,,
0.0003,-5.383479022979737,0.11008612979203462,654,0.7028556644916535,-1.1865930795669555,1945600,0.0,2971,9728,1180,,,
0.0003,-5.464228343963623,0.0952020731754601,672,0.6965576887130738,-1.2160645723342896,1996800,0.0,2969,9984,1210,,,
0.0003,-5.493799495697021,0.11457915864884853,,0.6944715082645416,-1.2286232113838196,1999872,,,,1220,-46.74198912680149,200.0,0.0
0.0003,-5.5331769466400145,0.05347611540928483,1194,0.6903149127960205,-1.2488077521324157,2048000,0.0,1715,10240,1240,,,
0.0003,-5.622587633132935,0.05431350013241172,1211,0.6820789575576782,-1.2877769112586974,2099200,0.0,1732,10496,1280,,,
0.0003,-5.706153917312622,0.03171107415109873,1229,0.6759670674800873,-1.317320966720581,2150400,0.0,1749,10752,1310,,,
0.0003,-5.7756266593933105,0.11045836238190532,1246,0.6699108839035034,-1.3474924087524414,2201600,0.0,1766,11008,1340,,,
0.0003,-5.840172386169433,0.09189182724803686,1263,0.6639080166816711,-1.3791155457496642,2252800,0.0,1783,11264,1370,,,
0.0003,-5.904800128936768,0.07281551156193018,1280,0.6579593360424042,-1.4092986702919006,2304000,0.01,1798,11520,1400,,,
0.0003,-5.963933706283569,0.05197887234389782,1298,0.6520631551742554,-1.4380182147026062,2355200,0.01,1814,11776,1430,,,
0.0003,-6.035065746307373,0.08963486030697823,1315,0.6462206482887268,-1.4707575798034669,2406400,0.0,1829,12032,1460,,,
0.0003,-6.120370149612427,0.16996119264513254,1332,0.6404297173023223,-1.502166712284088,2457600,0.01,1844,12288,1490,,,
0.0003,-6.18092713356018,0.09846051391214132,1349,0.6327874779701232,-1.5396973371505738,2508800,0.0,1858,12544,1530,,,
0.0003,-6.255314302444458,0.09492618544027209,1366,0.6271191656589508,-1.5703537344932557,2560000,0.0,1872,12800,1560,,,
0.0003,-6.3440995693206785,0.1859131314791739,1384,0.6214986324310303,-1.6033740282058715,2611200,0.0,1886,13056,1590,,,
0.0003,-6.4060296535491945,0.28228962011635306,1401,0.6159300804138184,-1.6316592812538147,2662400,0.0,1899,13312,1620,,,
0.0003,-6.462113571166992,0.12851922661066056,1418,0.610413646697998,-1.6591876745224,2713600,0.0,1912,13568,1650,,,
