#{"t_start": 1782345158.6580584, "env_id": "None"}
r,l,t
-57.592644,200,156.197111
-46.980125,200,156.197111
-35.500134,200,156.197111
-44.378452,200,156.197111
-48.17346,200,156.197111
-38.854053,200,156.197111
-53.111927,200,156.197111
-61.714146,200,156.197111
-75.636604,200,156.197111
-49.20806,200,156.197111
-40.730095,200,156.197111
-52.51313,200,156.197111
-38.145943,200,156.197111
-76.741875,200,156.197111
-77.75265,200,156.197111
-43.394424,200,156.197111
-60.01985,200,156.197111
-54.80555,200,156.197111
-80.924225,200,156.197111
-67.955894,200,156.197111
-58.640797,200,156.197111
-88.11575,200,156.197111
-42.935204,200,156.197111
-68.08036,200,156.197616
-54.453724,200,156.197616
-58.63235,200,156.197616
-37.64798,200,156.197616
-43.29818,200,156.197616
-31.509706,200,156.197616
-31.494116,200,156.197616
-49.514248,200,156.197616
-41.191875,200,156.197616
-62.60715,200,156.197616
-38.815426,200,156.197616
-59.339764,200,156.197616
-32.10556,200,156.197616
-44.717003,200,156.197616
-67.20522,200,156.197616
-74.71983,200,156.197616
-37.366158,200,156.197616
-71.19799,200,156.197616
-42.209904,200,156.197616
-67.85485,200,156.197616
-39.895218,200,156.197616
-54.069645,200,156.197616
-38.61685,200,156.197616
-59.312214,200,156.197616
-53.429893,200,156.197616
-63.922905,200,156.197616
-68.93781,200,156.197616
-45.95461,200,156.197616
-58.39701,200,156.197616
-33.42118,200,156.197616
-101.15948,200,156.197616
-56.883465,200,156.197616
-40.57709,200,156.197616
-39.577267,200,156.197616
-42.528976,200,156.197616
-64.97182,200,156.197616
-54.264587,200,156.197616
-48.7334,200,156.197616
-59.96579,200,156.197616
-46.235428,200,156.197616
-61.876125,200,156.197616
-35.67788,200,156.197616
-60.901726,200,156.197616
-38.125473,200,156.197616
-60.363968,200,156.197616
-44.94636,200,156.197616
-66.13865,200,156.197616
-44.399734,200,156.197616
-43.59394,200,156.197616
-42.40354,200,156.197616
-45.171772,200,156.197616
-72.90343,200,156.197616
-52.05371,200,156.197616
-29.798166,200,156.197616
-70.82848,200,156.197616
-39.53519,200,156.197616
-44.22425,200,156.197616
-68.46389,200,156.197616
-50.3576,200,156.197616
-42.776897,200,156.197616
-55.680237,200,156.197616
-39.235218,200,156.197616
-46.57414,200,156.197616
-57.81785,200,156.197616
-46.859882,200,156.197616
-34.26664,200,156.197616
-40.81338,200,156.197616
-42.93257,200,156.197616
-43.164955,200,156.197616
-90.7395,200,156.197616
-55.872444,200,156.197616
-64.92849,200,156.197616
-40.984745,200,156.197616
-43.984303,200,156.197616
-57.821533,200,156.197616
-57.02327,200,156.197616
-42.408707,200,156.197616
-38.221096,200,156.197616
-41.634678,200,156.197616
-43.02968,200,156.197616
-75.30271,200,156.197616
-31.781124,200,156.197616
-62.98131,200,156.197616
-51.04353,200,156.197616
-44.263706,200,156.197616
-65.0005,200,156.197616
