time/total_timesteps,train/learning_rate,time/fps,train/n_updates,rollout/success_rate,train/critic_loss,train/ent_coef_loss,time/episodes,train/actor_loss,time/time_elapsed,train/ent_coef
12800,0.0003,446,1376,0.0,0.01367771127843298,-1.373732253909111,64,-5.749452084302902,28,0.6649147979915142
25600,0.0003,133,7776,0.0,0.008084073298959993,-7.658778011798859,128,-6.158756956458092,192,0.09786434634588659
38400,0.0003,123,14176,0.0,0.04232537622738164,-10.960386604070663,192,1.2698157764971256,310,0.015120670374017209
51200,0.0003,130,20576,0.0,0.09726729334215634,-2.666156919673085,256,7.653003230690956,392,0.003481743740849197
