#{"t_start": 1782345614.0298991, "env_id": "None"}
r,l,t
-1.4198519,27,10.754729
-4.7570314,59,19.696843
-6.280399,60,20.203671
-5.6372013,60,20.204682
-6.8876853,61,20.715624
-10.929657,82,27.501511
-8.938467,91,30.616388
-11.81831,92,31.191133
-9.864442,94,32.08382
-8.395071,96,32.977189
-14.716714,103,35.452873
-13.4131,135,125.112037
-21.973677,136,125.610359
-20.540537,137,126.113792
-16.999794,147,129.000972
-24.772072,148,129.493479
-20.318342,154,131.296832
-17.479012,156,132.065557
-20.45704,196,144.235031
-58.91683,200,145.980172
-73.79912,200,145.980172
-52.89975,200,145.980672
-31.769085,200,145.980672
-84.6077,200,145.980672
-78.578255,200,145.980672
-32.397163,200,145.980672
-35.820553,200,145.980672
-45.113884,200,145.980672
-42.277863,200,145.980672
-36.348133,200,145.980672
-32.333755,200,145.980672
-37.251778,200,145.980672
-34.670433,200,145.981174
-45.406105,200,145.981174
-40.637398,200,145.981174
-37.863262,200,145.981174
-58.056713,200,145.981174
-40.173027,200,145.981174
-52.285614,200,145.981174
-44.421043,200,145.981174
-50.72296,200,145.981174
-52.09246,200,145.981174
-74.13578,200,145.981174
-51.779705,200,145.981174
-38.73837,200,145.981174
-40.097446,200,145.981174
-40.793804,200,145.981174
-26.855095,200,145.981174
-26.50327,200,145.981174
-31.333054,200,145.981174
-47.315586,200,145.981174
-41.2408,200,145.981174
-47.168484,200,145.981174
-92.48023,200,145.981677
-33.17774,200,145.981677
-53.277275,200,145.981677
-27.77077,200,145.981677
-38.808342,200,145.981677
-42.324486,200,145.981677
-29.484657,200,145.981677
-70.81298,200,145.981677
-44.82935,200,145.981677
-50.15403,200,145.981677
-81.13229,200,145.981677
-57.61697,200,145.981677
-45.315235,200,145.981677
-55.096004,200,145.981677
-64.53099,200,145.981677
-45.172825,200,145.981677
-68.88761,200,145.981677
-67.153145,200,145.981677
-41.798267,200,145.981677
-85.882355,200,145.981677
-31.568563,200,145.981677
-50.417614,200,145.981677
-63.76327,200,145.98217
-63.01297,200,145.98217
-41.750565,200,145.98217
-35.17765,200,145.98217
-54.514256,200,145.98217
-83.08037,200,145.98217
-59.358818,200,145.98217
-82.12741,200,145.98217
-58.522133,200,145.98217
-42.646755,200,145.98217
-53.341637,200,145.98217
-70.39597,200,145.98217
-51.327213,200,145.98217
-32.6092,200,145.98217
-52.302567,200,145.98217
-49.74312,200,145.98217
-38.163597,200,145.98217
-41.75027,200,145.98217
-40.17581,200,145.98217
-46.659348,200,145.98217
-28.720566,200,145.98217
-59.81769,200,145.98217
-57.303444,200,145.98217
-37.121193,200,145.98217
-52.005398,200,145.98217
-46.769844,200,145.98217
-62.70732,200,145.98217
-88.44882,200,145.98217
-62.913433,200,145.98217
-54.502205,200,145.98217
-63.192513,200,145.98217
-56.933018,200,145.98217
-35.771866,200,145.98217
-58.870922,200,145.98217
-41.945415,200,145.98217
-67.41909,200,145.98217
-44.245625,200,145.98217
-50.045593,200,145.98217
-51.149864,200,145.982669
-67.629745,200,145.982669
-60.458767,200,145.982669
-85.07715,200,145.982669
-56.0926,200,145.982669
-70.58548,200,145.982669
-60.767677,200,145.982669
-72.981445,200,145.982669
-55.554882,200,145.982669
-41.590717,200,145.982669
-41.444668,200,145.982669
-47.097454,200,145.982669
-41.14823,200,145.982669
-37.77063,200,145.982669
-57.612873,200,145.982669
-43.348064,200,145.982669
-39.470028,200,145.982669
-33.547623,200,145.982669
-48.54946,200,145.982669
-40.54157,200,145.982669
-30.929476,200,145.982669
-31.535831,200,145.982669
-35.282646,200,145.982669
-38.16755,200,145.982669
-39.51773,200,145.982669
-48.97569,200,145.982669
-61.403164,200,145.982669
-50.07643,200,145.982669
-63.93909,200,145.982669
-75.60545,200,145.982669
-41.455215,200,145.982669
-48.98946,200,145.982669
-66.92313,200,145.982669
-43.478214,200,145.982669
-64.333046,200,145.982669
-32.573296,200,145.982669
-52.173344,200,145.982669
-46.527035,200,145.982669
-46.334724,200,145.982669
-69.031555,200,145.982669
-46.8179,200,145.983172
-54.960304,200,145.983172
-35.668163,200,145.983172
-31.145887,200,145.983172
-65.49592,200,145.983172
-38.72966,200,145.983172
-43.73367,200,145.983172
-37.77066,200,145.983172
-41.34385,200,145.983172
-47.76453,200,145.983172
-41.33495,200,145.983172
-39.173637,200,145.983172
-42.14891,200,145.983172
-58.084892,200,145.983172
-71.328995,200,145.983172
-61.512592,200,145.983172
-64.3733,200,145.983172
-43.64844,200,145.983172
-53.998417,200,145.983172
-55.918964,200,145.983172
-41.133083,200,145.983172
-56.25135,200,145.983172
-45.85835,200,145.983172
-39.46919,200,145.983172
-61.108257,200,145.983172
-94.84407,200,145.983172
-36.07001,200,145.983172
-77.133675,200,145.983172
-69.57204,200,145.983172
-50.715107,200,145.98367
-58.30913,200,145.98367
-46.252533,200,145.98367
-60.077717,200,145.98367
-52.416214,200,145.98367
-46.289577,200,145.98367
-28.563929,200,145.98367
-74.19423,200,145.98367
-49.50879,200,145.98367
-66.54328,200,145.98367
-31.158434,200,145.98367
-81.03917,200,145.98367
-46.76889,200,145.98367
-51.09664,200,145.98367
-46.05357,200,145.98367
-93.634735,200,145.98367
-70.26503,200,145.98367
-39.442585,200,145.98367
-35.66815,200,145.98367
-60.9102,200,145.98367
-67.67222,200,145.98367
-49.310635,200,145.98367
-47.672794,200,145.98367
-31.005291,200,145.98367
-42.912712,200,145.98367
-68.179245,200,145.98367
-32.321335,200,145.98367
-32.286045,200,145.98367
-51.526505,200,145.98367
-36.887352,200,145.98367
-45.67401,200,145.98367
-36.755062,200,145.98367
-60.65333,200,145.98367
-32.812035,200,145.98367
-60.092003,200,145.98367
-58.666924,200,145.98367
-43.286766,200,145.98367
-38.868343,200,145.98367
-81.035286,200,145.98367
-56.092655,200,145.98367
-52.075287,200,145.98367
-64.504425,200,145.98367
-61.09059,200,145.98367
-28.292236,200,145.98367
-44.897152,200,145.98367
-50.788628,200,145.98367
-70.85268,200,145.98367
-33.427353,200,145.98367
-36.656506,200,145.98367
-62.608803,200,145.98367
-58.612293,200,145.98367
-41.924816,200,145.98367
-44.397552,200,145.98367
-30.69702,200,145.98367
-57.024837,200,145.98367
-32.53163,200,145.98367
-34.27375,200,145.98367
-30.47927,200,145.98367
-48.15747,200,145.98367
-76.13272,200,145.98367
-36.010174,200,145.98367
-45.05735,200,145.98367
-57.760445,200,145.98367
-45.872383,200,145.98367
-39.89371,200,145.98367
-44.415962,200,145.98367
-48.45021,200,145.98367
-38.788532,200,145.98367
-53.315166,200,145.98367
-61.41316,200,145.98367
-74.978424,200,145.98367
-46.906857,200,145.98367
-41.00383,200,145.98367
-52.49974,200,145.98367
-38.050858,200,145.98367
-73.49634,200,145.98367
-77.63801,200,145.98367
-43.115578,200,145.98367
-60.153294,200,145.98367
-54.67617,200,145.984675
-80.947716,200,145.984675
-68.09414,200,145.984675
-58.479885,200,145.984675
-88.05812,200,145.984675
-43.167156,200,145.984675
-67.86418,200,145.987191
-54.759964,200,145.987191
-58.711807,200,145.987191
-37.382324,200,145.987191
-43.384926,200,145.987191
-31.196653,200,145.987191
-31.369251,200,145.987191
-49.389698,200,145.987191
-41.211296,200,145.987191
-62.37759,200,145.987191
-38.88262,200,145.987191
-59.272514,200,145.987191
-32.139137,200,145.987689
-45.058617,200,145.987689
-67.35924,200,145.987689
-74.79913,200,145.987689
-37.31906,200,145.987689
-71.134125,200,145.987689
-42.122322,200,145.987689
-68.04785,200,145.987689
-39.643074,200,145.987689
-54.679386,200,145.987689
-39.411095,200,145.987689
-58.986473,200,145.987689
-53.71359,200,145.987689
-64.949356,200,145.987689
-69.05057,200,145.987689
-46.22708,200,145.987689
-58.244747,200,145.987689
-33.53291,200,145.987689
-101.21626,200,145.987689
-56.851936,200,145.987689
-40.830067,200,145.987689
-40.01625,200,145.987689
-43.438824,200,145.987689
-65.17927,200,145.987689
-54.33735,200,145.987689
-48.703617,200,145.987689
-60.234375,200,145.987689
-46.40354,200,145.987689
-61.618477,200,145.987689
-35.78309,200,145.987689
-60.647263,200,145.987689
-37.74961,200,145.987689
-60.533653,200,145.987689
-44.826866,200,145.987689
-66.6215,200,145.987689
-45.034626,200,145.988189
-43.56205,200,145.988189
-42.20311,200,145.988189
-45.183678,200,145.988189
-73.027214,200,145.988189
-51.933628,200,145.988189
-29.739069,200,145.988189
-70.717224,200,145.988189
-39.685978,200,145.988189
-44.132343,200,145.988189
-68.326675,200,145.988189
-50.38157,200,145.988189
-42.362755,200,145.988189
