train/clip_range,eval/mean_ep_length,train/clip_fraction,train/loss,train/value_loss,train/n_updates,eval/success_rate,train/entropy_loss,train/learning_rate,time/total_timesteps,train/approx_kl,eval/mean_reward,train/explained_variance,train/std,train/policy_gradient_loss
0.2,67.7,0.036205291748046875,5.297997951507568,10.84403589963913,1980,0.5,-1.2088735084980726,0.00014428646399999997,25998336,0.00407358,-10.545358626171947,0.8907949477434158,0.4460333287715912,-0.0007914611423984752
0.2,82.1,0.043758392333984375,4.23928165435791,8.658783315122127,2130,0.25,-1.25090893805027,0.00013248998399999998,27998208,0.0038878976,-17.85108496956527,0.9040170907974243,0.455191969871521,-0.0007451245051925071
0.2,65.75,0.03543243408203125,5.16915225982666,10.21485598385334,2280,0.6,-1.253785289824009,0.00012069350399999997,29998080,0.004724595,-8.742317816615104,0.8992444276809692,0.4542096257209778,-0.001034479208101402
0.2,74.5,0.035478973388671876,5.199265480041504,9.921933084726334,2440,0.5,-1.2591733440756798,0.000108110592,31997952,0.0039654407,-13.879931119084358,0.8968092426657677,0.45574527978897095,-0.0011361277123796754
0.2,81.5,0.033948516845703124,5.1353535652160645,10.707286685705185,2590,0.4,-1.2644052393734455,9.631411199999997e-05,33997824,0.0038896718,-13.488597349449993,0.8866741135716438,0.4574452042579651,-0.0009282651473768056
0.2,78.35,0.026499176025390626,4.593331813812256,9.57675193399191,2740,0.35,-1.2779914364218712,8.451763199999999e-05,35997696,0.0034083128,-15.225681392848491,0.9007197618484497,0.46017348766326904,-0.0009693721160147107
0.2,72.45,0.024466705322265626,5.266210079193115,9.981676509976387,2890,0.55,-1.2879967272281647,7.2721152e-05,37997568,0.0036473265,-12.190225083380938,0.8930830135941505,0.46262693405151367,-0.001036598977407266
0.2,77.4,0.02954559326171875,3.963576316833496,9.4246033847332,3050,0.6,-1.2930755335837603,6.0138239999999996e-05,39997440,0.0037373207,-9.888713983818889,0.8987572863698006,0.4634159207344055,-0.0012598593661095948
0.2,65.35,0.0184234619140625,4.02076530456543,8.603036676347255,3200,0.55,-1.3113783985376357,4.834176000000001e-05,41997312,0.0029615855,-8.684710470587016,0.9069753736257553,0.46799176931381226,-0.0009080844167328906
0.2,79.8,0.019055938720703124,4.661696910858154,9.04276326149702,3350,0.5,-1.3424317937344312,3.654527999999999e-05,43997184,0.0028556623,-13.012839536368848,0.8964157477021217,0.47567546367645264,-0.001196533154870849
0.2,69.6,0.013568878173828125,4.307384490966797,8.716003800928593,3500,0.55,-1.3493492994457483,2.4748800000000003e-05,45997056,0.0022503538,-9.070393212512135,0.8944932073354721,0.47731438279151917,-0.001148678049867158
0.2,65.9,0.006313323974609375,4.143697261810303,8.339431841671466,3660,0.65,-1.3575680185109378,1.216588799999999e-05,47996928,0.001839428,-6.240475765243173,0.9015479981899261,0.47928014397621155,-0.0008454591676127166
0.2,66.1,0.0,4.264671325683594,8.24166897237301,3810,0.6,-1.3631327830255031,3.6940800000000436e-07,49996800,7.382996e-05,-9.43698949366808,0.9061028435826302,0.4806153178215027,-4.582377150654793e-05
