train/value_loss,train/std,eval/success_rate,time/total_timesteps,train/explained_variance,train/clip_range,train/loss,eval/mean_ep_length,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,eval/mean_reward,train/n_updates,train/entropy_loss
1798.2875429704786,0.8131672739982605,0.25,1999872,0.08510345220565796,0.2,984.2579956054688,81.85,0.00048033920000000005,0.0037306158,-0.00021896782527619507,0.02064666748046875,-13.217702582105995,150,-2.4124031089246274
1692.3251025021077,1.0607476234436035,0.25,3999744,0.25161880254745483,0.2,1980.30029296875,81.75,0.0004606784,0.003369943,-6.046689704817254e-05,0.020397186279296875,-13.272303339838981,300,-2.946061961352825
1678.7422800660133,1.5701978206634521,0.4,5999616,0.3504493236541748,0.2,530.4523315429688,69.35,0.0004410176,0.0028752417,-0.0005440129192720633,0.02357025146484375,-6.845017863810062,450,-3.7119075030088426
3267.7246524333955,2.4463086128234863,0.35,7999488,0.42346394062042236,0.2,940.5067138671875,73.75,0.00042004608,0.0033268617,-0.0004930557723128004,0.019516754150390624,-8.121933260932565,610,-4.59293250143528
3118.234498977661,4.067386150360107,0.05,9999360,0.49818629026412964,0.2,1049.4210205078125,99.0,0.00040038528000000003,0.0031211162,-3.9753274540998974e-05,0.013314056396484374,-18.329117831215264,760,-5.603022709488869
