#{"t_start": 1778444661.7788763, "env_id": "MujocoUR3PushSimpleEnv"}
r,l,t,is_success
-50.0,50,4.81789,False
-50.0,50,5.618223,False
-50.0,50,6.425121,False
-50.0,50,7.227503,False
-50.0,50,8.042987,False
-50.0,50,8.837394,False
-50.0,50,9.639823,False
-50.0,50,10.445148,False
-50.0,50,11.244778,False
-50.0,50,12.047739,False
-50.0,50,12.846451,False
-50.0,50,13.681262,False
-50.0,50,51.846665,False
-50.0,50,52.666162,False
-50.0,50,53.481791,False
-50.0,50,54.303099,False
-50.0,50,55.121352,False
-50.0,50,55.946428,False
-50.0,50,56.76232,False
-50.0,50,57.590583,False
-50.0,50,58.400482,False
-50.0,50,59.224521,False
-50.0,50,60.045849,False
-50.0,50,60.849656,False
-50.0,50,61.652098,False
-50.0,50,99.976868,False
-50.0,50,100.782752,False
-50.0,50,101.60375,False
-50.0,50,102.409541,False
-50.0,50,103.219442,False
-50.0,50,104.012155,False
-50.0,50,104.815162,False
-36.0,50,105.612899,False
-50.0,50,106.414723,False
-50.0,50,107.216879,False
-50.0,50,108.014468,False
-50.0,50,108.820648,False
-50.0,50,146.563833,False
-50.0,50,147.369282,False
-50.0,50,148.198921,False
-50.0,50,159.540104,False
-50.0,50,160.361944,False
-50.0,50,161.171715,False
-50.0,50,161.98093,False
-50.0,50,162.814951,False
-50.0,50,163.657781,False
