#{"t_start": 1778444661.6837354, "env_id": "MujocoUR3PushSimpleEnv"}
r,l,t,is_success
-50.0,50,4.914531,False
-50.0,50,5.712864,False
-50.0,50,6.521775,False
-50.0,50,7.319639,False
-50.0,50,8.13763,False
-50.0,50,8.930537,False
-50.0,50,9.733962,False
-50.0,50,10.537277,False
-50.0,50,11.335927,False
-50.0,50,12.14238,False
-50.0,50,12.943599,False
-50.0,50,13.777403,False
-50.0,50,51.942308,False
-50.0,50,52.761303,False
-50.0,50,53.575428,False
-50.0,50,54.399241,False
-50.0,50,55.216988,False
-50.0,50,56.04307,False
-50.0,50,56.857461,False
-50.0,50,57.687227,False
-50.0,50,58.494107,False
-50.0,50,59.318162,False
-50.0,50,60.139493,False
-50.0,50,60.942774,False
-50.0,50,61.746746,False
-50.0,50,100.071008,False
-50.0,50,100.878393,False
-50.0,50,101.699895,False
-50.0,50,102.504682,False
-50.0,50,103.314077,False
-50.0,50,104.104285,False
-50.0,50,104.91131,False
-50.0,50,105.710039,False
-50.0,50,106.512366,False
-50.0,50,107.31002,False
-50.0,50,108.106174,False
-50.0,50,108.91679,False
-50.0,50,146.656468,False
-50.0,50,147.465929,False
-50.0,50,148.293056,False
-50.0,50,159.634246,False
-50.0,50,160.455057,False
-50.0,50,161.265855,False
-50.0,50,162.075571,False
-50.0,50,162.907073,False
-50.0,50,163.755732,False
