train/explained_variance,train/loss,train/approx_kl,time/total_timesteps,eval/mean_reward,eval/success_rate,train/entropy_loss,train/std,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/learning_rate,eval/mean_ep_length,train/n_updates
0.7624970525503159,6.6755876541137695,0.0050986065,1999872,-22.105496342107653,0.1,-2.329580544680357,0.7720189094543457,0.2,0.04225921630859375,-0.0021022656073910184,13.311189046502113,0.00048033920000000005,91.55,150
0.7824517339468002,9.02832317352295,0.005083997,3999744,-16.216916259378195,0.3,-1.9785224981606007,0.6492047905921936,0.2,0.05746002197265625,-0.0016212497124797665,18.61153322160244,0.0004606784,72.95,300
0.1899484395980835,1625.121826171875,0.0046113683,5999616,-7.3155074086040255,0.55,-2.200393437594175,0.7345699667930603,0.2,0.04422683715820312,-0.0004855029888858553,1724.9307885825633,0.0004410176,63.9,450
0.3013359308242798,1359.82177734375,0.00362601,7999488,-7.236407813429833,0.45,-2.861489274352789,1.0184403657913208,0.2,0.027840423583984374,0.00015111910324776544,1724.2244329154491,0.00042004608,67.15,610
