time/iterations,rollout/ep_len_mean,train/explained_variance,train/learning_rate,train/clip_range,time/fps,train/n_updates,train/approx_kl,time/total_timesteps,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/std,time/time_elapsed,train/entropy_loss,train/loss,train/clip_fraction,eval/success_rate,eval/mean_reward,eval/mean_ep_length
36,100.0,0.9990298415650614,0.000271328,0.2,197,350,0.0070100585,294912,-16.794480720000003,-0.0011619858207268408,0.02937923492791015,0.8240513801574707,1492,-2.4334620887413623,0.0046296631917357445,0.06070556640625,,,
,,0.9990813479525968,0.0002705088,0.2,,360,0.0064788093,300000,,-0.0005489481154654641,0.028759945147612598,0.8175066113471985,,-2.419925087317824,-0.01046451274305582,0.06546630859375,0.0,-16.83534324,100.0
40,100.0,0.9991491427063011,0.00026805119999999996,0.2,189,390,0.0047690636,327680,-16.798078420000003,-0.0006892944853461813,0.03128666825941764,0.8130593299865723,1726,-2.396715541370213,0.008186977356672287,0.0607421875,,,
44,100.0,0.9992289560032077,0.0002647744,0.2,192,430,0.0063656177,360448,-16.8521135,-0.0023008502950688124,0.02294924305388122,0.8295912146568298,1870,-2.4414033398032187,-0.01357115339487791,0.0684326171875,,,
48,100.0,0.9993164524785243,0.0002614976,0.2,193,470,0.0060095442,393216,-16.83837625,-0.00039492202231485864,0.024200794299395055,0.8323962688446045,2029,-2.445056965202093,-0.0357884056866169,0.067041015625,,,
,,0.9992958498187363,0.0002606784,0.2,,480,0.006474689,400000,,-0.0019904682980268263,0.020382696943852353,0.833633303642273,,-2.4477885944768785,-0.029181964695453644,0.07325439453125,0.0,-16.757013479999998,100.0
52,100.0,0.9994624340906739,0.0002582208,0.2,186,510,0.005995839,425984,-16.05201837,-0.0015547431270533708,0.019914556838193674,0.8294680118560791,2284,-2.446184381656349,-0.032781075686216354,0.06597900390625,,,
56,100.0,0.9993138365680352,0.00025494399999999995,0.2,188,550,0.007981002,458752,-17.11119664,-0.0014359725515532772,0.021795567926892544,0.8188313245773315,2429,-2.4260142205283044,-0.014567220583558083,0.0896484375,,,
60,100.0,0.9992631845525466,0.0002516672,0.2,190,590,0.007507143,491520,-16.11695235,-0.002486096948996419,0.025916364690056072,0.800276517868042,2583,-2.3755656676366925,-0.03447091206908226,0.08984375,,,
,,0.9992853846633807,0.00025002879999999996,0.2,,610,0.0067096814,500000,,-0.0022712171921739355,0.023735170786676463,0.7927417755126953,,-2.365526198595762,-0.03330743685364723,0.08443603515625,0.01,-15.59225886,100.0
