eval/success_rate,eval/mean_ep_length,train/approx_kl,time/total_timesteps,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/explained_variance,eval/mean_reward,train/clip_fraction,train/std,train/n_updates,train/value_loss
0.05,95.7,0.0046640355,1999872,0.00019213568,0.2,-2.4821321576833726,1.5093610286712646,-0.001090079699497437,0.1968233585357666,-20.194454349204896,0.03004608154296875,0.8313881754875183,75,3.2181278117001058
0.0,100.0,0.0029263208,3999744,0.00018427136,0.2,-2.240608701109886,2.0160443782806396,-0.000872717889433261,0.8422489315271378,-18.229736883938312,0.01707916259765625,0.7403689026832581,150,4.446959500014782
0.05,96.2,0.0027410677,5999616,0.00017640704,0.2,-2.1285626977682113,1.9380416870117188,-5.367984704207629e-05,0.8793097659945488,-15.82233500368893,0.01561126708984375,0.7023954391479492,225,4.023798277974128
0.15,87.6,0.0032060225,7999488,0.000168018432,0.2,-2.0901025772094726,2.5838677883148193,0.00011187737763975746,0.8507501184940338,-12.997684295475484,0.0171966552734375,0.6901109218597412,305,5.1025137394666675
0.0,100.0,0.0028964307,9999360,0.000160154112,0.2,-2.0816936537623407,2.3309199810028076,-7.719570785411634e-05,0.8564778417348862,-19.89874840937555,0.01897430419921875,0.6893576979637146,380,4.863658419251442
0.2,83.2,0.002043467,11999232,0.000152289792,0.2,-2.0788204625248907,2.5950424671173096,-8.810566432657652e-05,0.8526021391153336,-13.374087979644537,0.01157379150390625,0.6911298036575317,455,5.099739682674408
0.15,87.95,0.002642122,13999104,0.000144425472,0.2,-2.1148670271039007,3.0148017406463623,-0.00038723281650163697,0.8310035169124603,-14.38511332422495,0.0188751220703125,0.7100894451141357,530,5.587859842181206
0.0,100.0,0.0018702445,15998976,0.000136036864,0.2,-2.103367640078068,2.666951894760132,6.674620781268458e-05,0.7933095097541809,-17.740932120010257,0.0141143798828125,0.7115452289581299,610,5.757492491602898
0.15,87.85,0.0026011793,17998848,0.00012817254400000001,0.2,-2.151613575220108,2.7479770183563232,-0.000250973118818365,0.8191186189651489,-13.195418291911484,0.02105255126953125,0.7334043979644775,685,5.604930797219277
0.1,93.3,0.0026350592,19998720,0.00012030822400000001,0.2,-2.1807773381471636,3.04062557220459,-0.0001679769287875388,0.7878691554069519,-14.570107382163405,0.0146453857421875,0.7520444393157959,760,6.275189000368118
0.1,92.2,0.0028054048,21998592,0.000112443904,0.2,-2.2050443962216377,3.225809097290039,-0.000389310356695205,0.7964719831943512,-16.723004574328662,0.016387939453125,0.7667341232299805,835,6.653201448917389
0.1,91.2,0.0022292044,23998464,0.00010405529599999999,0.2,-2.233794228732586,2.985823154449463,-0.00016758810743340292,0.8155248016119003,-15.215633973106742,0.01771240234375,0.7874990701675415,915,6.258304879069328
0.25,79.8,0.0023923167,25998336,9.6190976e-05,0.2,-2.2566080048680304,2.7789762020111084,-0.0003250423033023253,0.8101555854082108,-9.838211154565215,0.01724700927734375,0.8047047853469849,990,5.976050311326981
