train/n_updates,train/ent_coef,time/time_elapsed,train/learning_rate,train/critic_loss,time/fps,train/actor_loss,rollout/success_rate,time/total_timesteps,train/ent_coef_loss,time/episodes,eval/mean_ep_length,eval/success_rate,eval/mean_reward
688,0.8154104612767696,20,0.0003,0.016912666673306376,611,-4.601699650287628,0.0,12800,-0.6871878765523434,64,,,
3888,0.31222264654934406,73,0.0003,0.003032806605915539,349,-12.180919110774994,0.0,25600,-3.914611265063286,128,,,
7088,0.11955620953813195,161,0.0003,0.0011965146368311252,237,-13.339881002902985,0.0,38400,-7.144608169794083,192,,,
10288,0.04578696517273784,245,0.0003,0.0006463546233135276,208,-12.138975262641907,0.0,51200,-10.364651441574097,256,,,
13488,0.017572322394698858,294,0.0003,0.0007470543587260181,217,-10.296790301799774,0.01,64000,-13.375010967254639,320,,,
16688,0.006800587609177455,341,0.0003,0.0004975690353603568,224,-8.41542398929596,0.0,76800,-15.74106764793396,384,,,
19888,0.002680997349671088,389,0.0003,0.0075437508057802916,230,-6.73386687040329,0.0,89600,-16.79099428653717,448,,,
23088,0.0010743422390078194,437,0.0003,0.0007028024474493577,234,-5.209162473678589,0.0,102400,-16.30973392724991,512,,,
26288,0.00045676383706449997,484,0.0003,0.0004471822367122513,237,-3.9367201179265976,0.0,115200,-11.256846249103546,576,,,
29488,0.0002272044630444725,530,0.0003,0.0007825085112926899,241,-2.8434633016586304,0.0,128000,-3.882801190018654,640,,,
32688,0.00019123132733511738,577,0.0003,0.0005514311624210677,243,-1.9389623627066612,0.0,140800,2.994991756975651,704,,,
35888,0.00024049722742347512,625,0.0003,0.0009140851952906814,245,-1.1739163026213646,0.0,153600,-0.9926284551620483,768,,,
39088,0.00019948387216572883,672,0.0003,0.000990907925825013,247,-0.4912764262408018,0.01,166400,-0.047337877564132214,832,,,
42288,0.0001859969379438553,720,0.0003,0.0010316024672647472,248,0.04995057871565223,0.0,179200,-1.1370585560798645,896,,,
45488,0.00017942306112672668,768,0.0003,0.0007430924715663423,249,0.5224389545619488,0.0,192000,0.4685058668255806,960,,,
48688,0.00015321357750508469,815,0.0003,0.0016599853825027822,250,0.9315086379647255,0.01,204800,3.01316886767745,1024,,,
51888,0.00015973367135302396,864,0.0003,0.0011137328228869592,251,1.2592247128486633,0.01,217600,-0.707825381308794,1088,,,
55088,0.00019920230806746986,910,0.0003,0.0005950010627202573,252,1.5436350628733635,0.02,230400,0.20649209432303905,1152,,,
58288,0.00018591452226246474,960,0.0003,0.002051438906164549,253,1.7823773473501205,0.04,243200,1.6073368676006794,1216,,,
61488,0.0001940252905114903,1007,0.0003,0.0013131125169820734,254,1.962706908583641,0.0,256000,-0.9871705397963524,1280,,,
64688,0.00017964758990274277,1055,0.0003,0.0016435158722742926,254,2.1296628266572952,0.02,268800,0.09787761978805065,1344,,,
67888,0.00019140430140396347,1104,0.0003,0.002619071088702185,254,2.249627858400345,0.07,281600,0.35099343210458755,1408,,,
71088,0.00019311254254716914,1153,0.0003,0.002188825594203081,255,2.3610741049051285,0.02,294400,-0.5366420783102512,1472,,,
74288,0.00020096704975003377,1202,0.0003,0.0032962394843707443,255,2.4669366478919983,0.06,307200,-0.9445607922971249,1536,,,
77488,0.00022823549807071686,1251,0.0003,0.0036497552282526158,255,2.5298886448144913,0.05,320000,-4.080127418041229,1600,,,
80688,0.0002454525547364028,1317,0.0003,0.003079853322560666,252,2.570257544517517,0.09,332800,3.293932408094406,1664,,,
83888,0.00031243560079019517,1411,0.0003,0.002624964165079291,244,2.575533092021942,0.06,345600,-0.2752050245180726,1728,,,
87088,0.0002560377433837857,1462,0.0003,0.0031014677697385196,245,2.626667395234108,0.13,358400,-1.2301458595320582,1792,,,
88240,0.00027015300474886317,1481,0.0003,0.003281308874647948,244,2.6307951509952545,0.2,363008,3.3327568285167217,1856,,,
91040,0.0002845251983671915,1524,0.0003,0.003938863086659694,245,2.667814239859581,0.18,374208,1.7845172099769115,1920,,,
94064,0.0002608598078950308,1571,0.0003,0.004405655061418656,245,2.6746256798505783,0.1,386304,-1.6557339886203408,1984,,,
97008,0.0002888366852857871,1617,0.0003,0.0032983794044412207,246,2.7114612758159637,0.14,398080,-0.23570904228836298,2048,,,
100064,0.0002974511135107605,1665,0.0003,0.0025887645733746467,246,2.74496129155159,0.15,410304,0.19729087501764297,2112,,,
103200,0.00029314530729607213,1714,0.0003,0.004437615840288345,246,2.7594192773103714,0.16,422848,0.1622279230505228,2176,,,
105328,0.0002535807252570521,1748,0.0003,0.004626780431863153,246,2.783131778240204,0.24,431360,-0.0435502789914608,2240,,,
107472,0.0002712041859922465,1782,0.0003,0.004897257938864641,246,2.7677722424268723,0.23,439936,-0.01857125386595726,2304,,,
110208,0.0002956542302854359,1826,0.0003,0.0044101246567151975,246,2.776828855276108,0.23,450880,1.1828785557299852,2368,,,
112992,0.0003114096361969132,1872,0.0003,0.003340670380566735,246,2.7877358198165894,0.24,462016,0.837439953815192,2432,,,
115664,0.0002835495961335255,1915,0.0003,0.006106460787123069,246,2.788192480802536,0.3,472704,1.2946541346609592,2496,,,
117872,0.00030043115839362144,1952,0.0003,0.0033591789688216522,246,2.7722909450531006,0.24,481536,-0.8196630235761404,2560,,,
120080,0.00029732613074884284,1988,0.0003,0.005505754244950367,246,2.801911398768425,0.27,490368,-0.5607595443725586,2624,,,
122816,0.00028427114739315584,2032,0.0003,0.007042400844511576,246,2.7897517532110214,0.21,501312,0.9916103146970272,2688,,,
125408,0.0002985910359711852,2074,0.0003,0.003398885099159088,246,2.7982130646705627,0.28,511680,-0.08125549368560314,2752,,,
127920,0.00028083509823773056,2115,0.0003,0.005366083736589644,246,2.81960366666317,0.27,521728,-1.2865453287959099,2816,,,
129888,0.00030529538162227254,2148,0.0003,0.0031622228343621828,246,2.8198370039463043,0.27,529600,1.6264013648033142,2880,,,
132832,0.0002936477012553951,2196,0.0003,0.0043831840812345035,246,2.811703696846962,0.25,541376,0.2628074362874031,2944,,,
135296,0.0002495801109034801,2237,0.0003,0.005489324204972945,246,2.7833655774593353,0.32,551232,-0.47080854419618845,3008,,,
137648,0.00024955481057986617,2275,0.0003,0.005467624268931104,246,2.808296948671341,0.29,560640,0.10716433264315128,3072,,,
139728,0.0002845123817678541,2310,0.0003,0.004276731619029306,246,2.8301877826452255,0.26,568960,-0.7249083388596773,3136,,,
142400,0.00026726220494310837,2353,0.0003,0.003914134667866165,246,2.8183481842279434,0.34,579648,0.48271368630230427,3200,,,
145040,0.0002989186341437744,2397,0.0003,0.0053163104894338176,246,2.8267681002616882,0.28,590208,-0.006687350571155548,3264,,,
