rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,eval/mean_ep_length,train/value_loss,train/clip_fraction,train/loss,train/std,eval/mean_reward,eval/success_rate,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/approx_kl
-6.9461446,14234,524288,36,63.666666666666664,1,,,,,,,,,,,,,,
,,999424,,,,200.0,0.7060846079373733,0.007895565032958985,0.28455373644828796,1.0238468647003174,-49.923553466796875,0.0,0.0004912618666666667,0.2,-3.6715208852911016e-05,0.03284984827041626,-2.874066350166686,20,0.0012784055
-49.429554,7856,1048576,133,195.13,2,,,,,,,,,,,,,,
-43.177055,7067,1572864,222,177.84,3,,0.05456031410612923,0.0764739990234375,-0.007016737014055252,1.0439977645874023,,,0.00048252373333333335,0.2,-0.0016196997840438598,-2.9464306831359863,-2.923068950348534,40,0.0073753204
,,1998848,,,,200.0,0.011638829227285897,0.06274290084838867,-0.029920322820544243,1.0416011810302734,-48.524169921875,0.0,0.00047378560000000005,0.2,-0.005493182696022813,0.9028101190924644,-2.9164249461144207,60,0.0056507904
-36.27276,6462,2097152,324,149.94,4,,,,,,,,,,,,,,
-33.155464,6243,2621440,419,130.11,5,,0.044890453343941775,0.04756927490234375,-0.015336483716964722,1.037308692932129,,,0.0004650474666666667,0.2,-0.0027419684020628665,0.840334415435791,-2.911230686516501,80,0.00481307
,,2998272,,,,200.0,0.05094785672190483,0.04196109771728516,-0.005101405084133148,1.0344572067260742,-48.9995002746582,0.0,0.00045630933333333333,0.2,-0.002053868337964104,0.8250686079263687,-2.9086182601051407,100,0.004379739
-32.844017,5933,3145728,530,156.76,6,,,,,,,,,,,,,,
-35.789417,5798,3670016,632,151.05,7,,0.008116506342685171,0.06313362121582031,-0.02956363558769226,1.0291824340820312,,,0.00044757120000000003,0.2,-0.004859109602625722,0.9540206231176853,-2.8901165740564467,120,0.0060289325
,,3997696,,,,192.82,0.052078527099001806,0.05597610473632812,-0.008801707997918129,1.0264760255813599,-39.5817985534668,0.04,0.00043883306666666667,0.2,-0.0027520523731936917,0.851830244064331,-2.889591914275661,140,0.0052967123
-25.644697,5606,4194304,748,101.95,8,,,,,,,,,,,,,,
-36.07956,5509,4718592,856,159.92,9,,0.05384147475742793,0.05405616760253906,-0.0037069227546453476,1.0178660154342651,,,0.0004300949333333333,0.2,-0.0024646421798024676,0.8506569415330887,-2.8807623476022854,160,0.005146967
,,4997120,,,,174.6,0.01448893209653761,0.08439369201660156,-0.02976902946829796,1.0003455877304077,-38.88697814941406,0.14,0.0004213568,0.2,-0.0063358693330314965,0.9482754580676556,-2.839439922804013,180,0.00727468
-30.790747,5334,5242880,982,136.45,10,,,,,,,,,,,,,,
-41.959225,5288,5767168,1090,169.65,11,,0.06832075043166697,0.07068881988525391,-0.00015909597277641296,0.9896612763404846,,,0.0004126186666666667,0.2,-0.0041118258089341,0.8612865507602692,-2.818943197815679,200,0.006177051
,,5996544,,,,165.38,0.06069671885488788,0.07196455001831055,0.0038623251020908356,0.9793427586555481,-35.265811920166016,0.2,0.00040388053333333335,0.2,-0.0033379643219063836,0.869330421090126,-2.7977555516408756,220,0.0062041134
-32.202255,5162,6291456,1218,147.5,12,,,,,,,,,,,,,,
-25.663149,5118,6815744,1331,123.64,13,,0.04276957791080349,0.09786138534545899,-0.014981979504227638,0.9648972749710083,,,0.0003951424,0.2,-0.006733979264959089,0.9187746495008469,-2.755341163626872,240,0.008313704
,,6995968,,,,146.48,0.08300916949629027,0.07944183349609375,0.011622898280620575,0.9511688947677612,-25.3825740814209,0.3,0.0003864042666666667,0.2,-0.00421489907043906,0.8697737753391266,-2.739034129679203,260,0.006777699
-23.747953,5045,7340032,1454,116.98,14,,,,,,,,,,,,,,
-23.59846,5021,7864320,1566,112.35,15,,0.03650559259367583,0.09152727127075196,-0.015532644465565681,0.9306927919387817,,,0.00037766613333333333,0.2,-0.005448868889357072,0.9281727522611618,-2.693228699802421,280,0.007885529
,,7995392,,,,119.34,0.0981793665974692,0.08878469467163086,0.017789117991924286,0.9126753807067871,-22.903642654418945,0.44,0.00036892800000000003,0.2,-0.004470098441140635,0.8793400749564171,-2.656474410044029,300,0.007541517
-24.750755,4949,8388608,1694,117.76,16,,,,,,,,,,,,,,
-20.743458,4936,8912896,1805,108.09,17,,0.0897222377891012,0.08338460922241211,0.006922964006662369,0.9021142721176147,,,0.0003601898666666666,0.2,-0.003846984899007566,0.8868197277188301,-2.6283307472011073,320,0.007184446
,,8994816,,,,113.32,0.07682492474814354,0.09124126434326171,0.003996752202510834,0.8846303224563599,-20.9805965423584,0.5,0.00035145173333333337,0.2,-0.004561843374972341,0.9085116311907768,-2.59323638654314,340,0.0077976203
-19.45054,4876,9437184,1935,101.32,18,,,,,,,,,,,,,,
-23.297274,4859,9961472,2049,120.04,19,,0.11065484128484968,0.08670053482055665,0.041741691529750824,0.8737319707870483,,,0.0003427136,0.2,-0.0038824917526312673,0.8841805458068848,-2.565224969875999,360,0.007378511
,,9994240,,,,99.8,0.08825682484166464,0.08777408599853516,4.4364482164382935e-05,0.8628820776939392,-20.46898651123047,0.58,0.00033397546666666665,0.2,-0.003727549904897387,0.9056445732712746,-2.539741544984281,380,0.007448309
-15.085947,4808,10485760,2180,72.23,20,,,,,,,,,,,,,,
,,10993664,,,,84.1,0.10722523741351324,0.09439735412597657,0.01965346932411194,0.8491281270980835,-17.31285858154297,0.66,0.00032523733333333335,0.2,-0.0041522573776205714,0.895505890250206,-2.5077605156460776,400,0.008230886
-14.11562,4758,11010048,2313,81.54,21,,,,,,,,,,,,,,
-15.682755,4746,11534336,2429,77.09,22,,0.09432234838604928,0.08882207870483398,0.011359153315424919,0.8372639417648315,,,0.0003164992,0.2,-0.003415738585397321,0.9054630547761917,-2.482534801820293,420,0.0077713146
