#{"t_start": 1778444835.6746678, "env_id": "MujocoUR3PushSimpleEnv"}
r,l,t,is_success
-50.0,50,4.750073,False
-50.0,50,5.556489,False
-50.0,50,6.41526,False
-50.0,50,7.221021,False
-50.0,50,8.026184,False
-50.0,50,8.822062,False
-50.0,50,9.627108,False
-50.0,50,10.434476,False
-50.0,50,11.23394,False
-50.0,50,12.032407,False
-50.0,50,12.832597,False
-50.0,50,13.639549,False
-50.0,50,14.435193,False
-50.0,50,15.2414,False
-50.0,50,16.055695,False
-50.0,50,16.892511,False
-50.0,50,17.721121,False
-50.0,50,18.54697,False
-50.0,50,19.381662,False
-50.0,50,20.210314,False
-50.0,50,21.03801,False
-50.0,50,21.864155,False
-50.0,50,22.674481,False
-50.0,50,23.481831,False
-50.0,50,24.29127,False
-50.0,50,25.139957,False
-50.0,50,26.052984,False
-50.0,50,26.892407,False
-50.0,50,27.783317,False
-50.0,50,28.68272,False
-50.0,50,29.541627,False
-50.0,50,30.474008,False
-50.0,50,31.304224,False
-50.0,50,32.233588,False
-50.0,50,33.171546,False
-50.0,50,34.181626,False
-50.0,50,35.122795,False
-50.0,50,36.017672,False
-50.0,50,36.902029,False
-50.0,50,37.783128,False
-50.0,50,50.070028,False
-50.0,50,50.963086,False
-50.0,50,51.867746,False
-50.0,50,52.755688,False
-50.0,50,53.633579,False
-50.0,50,54.49709,False
-50.0,50,55.377853,False
-50.0,50,56.282452,False
-50.0,50,57.157543,False
-50.0,50,58.045388,False
-50.0,50,98.059089,False
-50.0,50,98.94722,False
-50.0,50,99.837389,False
-50.0,50,100.716226,False
-50.0,50,101.586587,False
-50.0,50,102.455508,False
-50.0,50,103.35358,False
-50.0,50,104.265495,False
-50.0,50,105.172817,False
-50.0,50,106.042841,False
-50.0,50,106.941008,False
-50.0,50,107.825253,False
-50.0,50,108.727032,False
-50.0,50,109.60978,False
-50.0,50,110.53514,False
-50.0,50,111.4632,False
-50.0,50,112.340528,False
-50.0,50,113.224115,False
-50.0,50,114.04427,False
-50.0,50,114.860677,False
-50.0,50,115.680973,False
-50.0,50,116.495612,False
-50.0,50,117.310692,False
-50.0,50,118.129257,False
-50.0,50,118.973316,False
-50.0,50,119.963222,False
-50.0,50,120.941069,False
-50.0,50,121.860086,False
-50.0,50,122.774264,False
-50.0,50,123.715668,False
-50.0,50,124.648456,False
-50.0,50,136.599375,False
-50.0,50,137.489944,False
-50.0,50,138.432359,False
-50.0,50,139.317327,False
-50.0,50,140.215565,False
-50.0,50,141.126118,False
-50.0,50,142.027361,False
-50.0,50,142.920495,False
-50.0,50,143.842833,False
-50.0,50,144.741899,False
-50.0,50,145.637566,False
-50.0,50,146.534842,False
-50.0,50,147.457496,False
-50.0,50,148.377507,False
-50.0,50,149.268948,False
-50.0,50,150.177523,False
-50.0,50,151.075918,False
-50.0,50,151.986783,False
-50.0,50,152.912371,False
-50.0,50,193.405294,False
-50.0,50,194.319104,False
-50.0,50,195.217129,False
-50.0,50,196.157084,False
-50.0,50,197.067355,False
-50.0,50,197.969815,False
-50.0,50,198.858339,False
-50.0,50,199.75,False
-50.0,50,200.651173,False
-50.0,50,201.536914,False
-50.0,50,202.440585,False
-50.0,50,203.344464,False
-50.0,50,204.251976,False
-50.0,50,205.148634,False
-50.0,50,206.063545,False
-50.0,50,206.984793,False
-50.0,50,207.876268,False
-50.0,50,208.770052,False
-50.0,50,209.661586,False
-50.0,50,210.567044,False
-50.0,50,211.479976,False
-50.0,50,212.386744,False
-50.0,50,224.113203,False
-50.0,50,225.018167,False
-50.0,50,225.959507,False
-50.0,50,226.933648,False
-50.0,50,227.869909,False
-50.0,50,228.810192,False
-50.0,50,229.732235,False
-50.0,50,230.590942,False
-50.0,50,231.421391,False
-50.0,50,232.281175,False
-50.0,50,233.129371,False
-50.0,50,233.948771,False
-50.0,50,234.771395,False
-50.0,50,235.57546,False
-50.0,50,236.386461,False
-50.0,50,237.231727,False
-50.0,50,238.048815,False
-50.0,50,238.856755,False
-50.0,50,239.668667,False
-50.0,50,240.480999,False
-50.0,50,241.289217,False
-50.0,50,242.086857,False
-50.0,50,242.88992,False
-50.0,50,243.707311,False
-50.0,50,244.5122,False
-50.0,50,245.310684,False
-50.0,50,246.125001,False
-50.0,50,246.929561,False
-50.0,50,287.569849,False
-50.0,50,288.485346,False
-50.0,50,289.385178,False
-50.0,50,290.299746,False
-50.0,50,291.220807,False
-50.0,50,292.12064,False
-50.0,50,293.024611,False
-50.0,50,293.924721,False
-50.0,50,294.823931,False
-50.0,50,295.712646,False
-50.0,50,296.60988,False
-50.0,50,297.518372,False
-50.0,50,298.403202,False
-50.0,50,310.609729,False
-50.0,50,311.493989,False
-50.0,50,312.391395,False
-50.0,50,313.299423,False
-50.0,50,314.194597,False
-50.0,50,315.093746,False
-50.0,50,315.984838,False
-50.0,50,316.893857,False
-50.0,50,317.779565,False
-50.0,50,318.665439,False
-50.0,50,319.556863,False
-50.0,50,320.451199,False
-50.0,50,321.342384,False
-50.0,50,322.232396,False
-50.0,50,323.139553,False
-50.0,50,324.027609,False
-50.0,50,324.916408,False
-50.0,50,325.818449,False
-50.0,50,326.727006,False
-50.0,50,327.668378,False
-50.0,50,328.571739,False
-50.0,50,329.48942,False
-50.0,50,330.373397,False
-50.0,50,331.269415,False
-50.0,50,332.179195,False
-50.0,50,333.086973,False
-50.0,50,333.978189,False
-50.0,50,334.867964,False
-50.0,50,335.765291,False
-50.0,50,336.653463,False
-50.0,50,337.558231,False
-50.0,50,338.44982,False
-50.0,50,339.345001,False
-50.0,50,340.239634,False
-50.0,50,341.133363,False
-50.0,50,342.023565,False
-50.0,50,342.923398,False
-50.0,50,383.218563,False
-50.0,50,384.123182,False
-50.0,50,385.030697,False
-50.0,50,385.9419,False
-50.0,50,398.577235,False
-50.0,50,399.395502,False
-50.0,50,400.363688,False
-50.0,50,401.235881,False
-50.0,50,402.142298,False
-50.0,50,403.014803,False
-50.0,50,403.933221,False
-50.0,50,404.877011,False
-50.0,50,405.817219,False
-50.0,50,406.732356,False
-50.0,50,407.645039,False
-50.0,50,408.590289,False
-50.0,50,409.503888,False
-50.0,50,410.40448,False
-50.0,50,411.296502,False
-50.0,50,412.197614,False
-50.0,50,413.102086,False
