train/clip_fraction,train/explained_variance,time/total_timesteps,train/std,train/approx_kl,train/clip_range,train/entropy_loss,eval/mean_reward,train/loss,eval/mean_ep_length,train/n_updates,train/learning_rate,train/value_loss,eval/success_rate,train/policy_gradient_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations
0.005718994140625,-0.00019097328186035156,20000,1.0032687187194824,0.0021132857,0.2,-2.846234141010791,-50.0,8.434207916259766,50.0,10,0.00029836159999999996,16.830876536294817,0.0,-0.00025846558946795994,,,,,
0.011956787109375,0.5178441107273102,40000,0.9947221279144287,0.0028214452,0.2,-2.8370430684648453,-50.0,3.0502192974090576,50.0,20,0.0002967232,10.091183149814606,0.0,-0.0008013273891265271,,,,,
0.0271484375,0.7712251394987106,60000,0.9864410161972046,0.0036464375,0.2,-2.817341319192201,-50.0,2.599259853363037,50.0,30,0.0002950848,6.809945198008791,0.0,-0.0018606164181619532,,,,,
0.04178466796875,0.8931696638464928,80000,0.9778356552124023,0.004839046,0.2,-2.793170406948775,-50.0,1.5607115030288696,50.0,40,0.00029344639999999997,4.380619174870662,0.0,-0.0023185911944892724,,,,,
0.116845703125,0.9718287531286478,100000,0.9435571432113647,0.008385899,0.2,-2.725096760317683,-49.87,0.6447222232818604,50.0,60,0.0002901696,2.80680869249627,0.01,-0.00812859066463716,,,,,
0.130364990234375,0.97417495213449,120000,0.9190922975540161,0.014217199,0.2,-2.6873709403909745,-49.5,1.6584231853485107,50.0,70,0.0002885312,3.213677268719766,0.01,-0.007783428721813835,,,,,
,,131072,,,,,,,,,,,,,-50.0,214,609,50.0,8
0.139068603515625,0.979078421369195,140000,0.8985406160354614,0.010874112,0.2,-2.6288214969448744,-49.48,0.40225541591644287,50.0,80,0.00028689279999999996,2.5941973906592466,0.01,-0.00715809029279626,,,,,
0.156280517578125,0.9747639205306768,160000,0.8652549386024475,0.016059512,0.2,-2.5736466753296554,-49.94,0.7942613363265991,50.0,90,0.0002852544,2.9261789033422247,0.01,-0.007644742984484765,,,,,
0.173968505859375,0.9622236341238022,180000,0.8371130228042603,0.012826368,0.2,-2.5012470821850004,-50.0,0.9105312824249268,50.0,100,0.000283616,4.240000779426191,0.0,-0.006122694871010026,,,,,
0.151397705078125,0.9814404062926769,200000,0.7758224010467529,0.011729653,0.2,-2.3407460670918225,-50.0,0.545424222946167,50.0,120,0.00028033919999999996,1.8158552073407919,0.0,-0.003182444003323326,,,,,
0.126324462890625,0.9893538830801845,220000,0.7571204900741577,0.0116663175,0.2,-2.2963092346675693,-50.0,1.0007604360580444,50.0,130,0.00027870079999999995,1.055764449428534,0.0,-0.002566171614671475,,,,,
