time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/explained_variance,eval/success_rate,eval/mean_ep_length,train/loss,eval/mean_reward,train/clip_fraction
4194304,1046,8,126.78,-31.798145,4007,,,,,,,,,,,,,,
4718592,1215,9,160.38,-35.097836,3882,0.0004300949333333333,0.0046385806,0.2,-0.002224608913513748,160,0.04837907455057575,-2.865945450798608,1.0129327774047852,0.8549186289310455,,,-0.007346777245402336,,0.0475153923034668
4997120,,,,,,0.0004213568,0.007149959,0.2,-0.006528030673666763,180,0.017660430050545982,-2.8297280858969316,0.9925520420074463,0.9396551661193371,0.12,179.82,-0.023476500064134598,-35.23631286621094,0.0834782600402832
5242880,1396,10,131.72,-29.03835,3754,,,,,,,,,,,,,,
5767168,1554,11,144.62,-35.34738,3708,0.0004126186666666667,0.006157616,0.2,-0.004303862986034801,200,0.07048326453368645,-2.799641499412246,0.981657862663269,0.8384441584348679,,,0.005373260006308556,,0.06939325332641602
5996544,,,,,,0.00040388053333333335,0.005492299,0.2,-0.0030904624614095156,220,0.057422802084147406,-2.779276692471467,0.9680149555206299,0.8593144863843918,0.22,161.98,0.000951126217842102,-33.253536224365234,0.059441661834716795
6291456,1732,12,133.95,-29.19588,3632,,,,,,,,,,,,,,
6815744,1905,13,129.17,-26.869705,3577,0.0003951424,0.007258144,0.2,-0.006456303169113653,240,0.04702930608436873,-2.7288800823036583,0.9507664442062378,0.9113756269216537,,,-0.01263112761080265,,0.08408575057983399
6995968,,,,,,0.0003864042666666667,0.0057230527,0.2,-0.003718401409753369,260,0.09276212203913019,-2.7078262544935567,0.9379169940948486,0.8564619421958923,0.32,144.58,0.013004638254642487,-26.558063507080078,0.06521883010864257
7340032,2086,14,124.88,-27.81675,3518,,,,,,,,,,,,,,
7864320,2242,15,115.67,-25.079636,3506,0.00037766613333333333,0.0068181334,0.2,-0.004595289352573672,280,0.04189797258659382,-2.673209154838696,0.9207788705825806,0.9209610968828201,,,-0.014708973467350006,,0.07593297958374023
7995392,,,,,,0.00036892800000000003,0.006472194,0.2,-0.003939262145479461,300,0.10790050181385595,-2.6474819627124817,0.9087430238723755,0.867501974105835,0.36,136.3,0.027888428419828415,-26.608779907226562,0.07451019287109376
8388608,2426,16,122.23,-24.455133,3457,,,,,,,,,,,,,,
8912896,2596,17,102.21,-19.681255,3432,0.0003601898666666666,0.005881381,0.2,-0.0031273290404556066,320,0.09652895322578843,-2.622973093879409,0.8974506258964539,0.8714185208082199,,,0.014623604714870453,,0.06719808578491211
8994816,,,,,,0.00035145173333333337,0.006613293,0.2,-0.003911590576512936,340,0.08110903043270809,-2.5857516847085207,0.8817011117935181,0.898458905518055,0.48,114.56,0.005532026290893555,-23.052536010742188,0.0751119613647461
9437184,2768,18,112.22,-22.877314,3408,,,,,,,,,,,,,,
9961472,2934,19,118.21,-25.337135,3394,0.0003427136,0.006285119,0.2,-0.003189394713035654,360,0.11409323248662986,-2.561856337054633,0.8729631900787354,0.8677963018417358,,,0.02521517127752304,,0.07278652191162109
9994240,,,,,,0.00033397546666666665,0.006531531,0.2,-0.0034357433126160687,380,0.08947225069059642,-2.533747700881213,0.860654354095459,0.8902239352464676,0.68,77.48,0.015433767810463905,-12.097716331481934,0.07465124130249023
10485760,3131,20,92.47,-15.734937,3348,,,,,,,,,,,,,,
10993664,,,,,,0.00032523733333333335,0.0066285105,0.2,-0.003313279567510108,400,0.10386461314665212,-2.508135317848064,0.8469487428665161,0.8829864338040352,0.7,78.48,0.017313925549387932,-12.667946815490723,0.07420587539672852
11010048,3304,21,89.81,-14.765692,3331,,,,,,,,,,,,,,
11534336,3452,22,79.9,-15.814183,3340,0.0003164992,0.0065173027,0.2,-0.0033509057412516086,420,0.0945209124682151,-2.475370026356541,0.8343849182128906,0.8919107168912888,,,0.030272841453552246,,0.07566661834716797
11993088,,,,,,0.0003077610666666667,0.0064970255,0.2,-0.003167994485147574,440,0.08785157012025593,-2.44682243866846,0.8236337900161743,0.9064135178923607,0.7,81.58,0.015607399865984917,-13.670721054077148,0.0750962257385254
12058624,3650,23,76.46,-14.254053,3303,,,,,,,,,,,,,,
12582912,3791,24,78.44,-15.175556,3319,0.0002990229333333333,0.0066107246,0.2,-0.0025174612962814537,460,0.09044450976616644,-2.4255509816342964,0.8137674331665039,0.906455934047699,,,0.03226890787482262,,0.07371282577514648
12992512,,,,,,0.00029028480000000003,0.006923959,0.2,-0.0026371826725039684,480,0.0846284352526709,-2.397892911708914,0.8024283647537231,0.9147582873702049,0.84,52.1,0.01390731893479824,-7.5667500495910645,0.07877140045166016
13107200,3976,25,70.25,-11.707573,3296,,,,,,,,,,,,,,
13631488,4135,26,48.19,-8.5728245,3295,0.00028154666666666667,0.0069561843,0.2,-0.0023808149079172836,500,0.08068098338189884,-2.3704750900156797,0.7909377813339233,0.9179666265845299,,,0.013770684599876404,,0.0803400993347168
13991936,,,,,,0.0002728085333333333,0.0068069054,0.2,-0.0021954372069558302,520,0.07687284832682054,-2.348322815680876,0.7824430465698242,0.9236411973834038,0.82,54.42,0.013643419370055199,-9.883780479431152,0.07755718231201172
14155776,4323,27,64.83,-11.176776,3274,,,,,,,,,,,,,,
14680064,4437,28,49.39,-8.386332,3308,0.00026407040000000007,0.006861659,0.2,-0.002169358658466081,540,0.07889634622479207,-2.3254583367612214,0.7739038467407227,0.9250577166676521,,,0.00877690501511097,,0.07970094680786133
14991360,,,,,,0.00025533226666666665,0.0066407924,0.2,-0.0018915411481884802,560,0.07312027191983361,-2.305416728416458,0.7671260833740234,0.929569236934185,0.8,60.58,0.004389066249132156,-10.275676727294922,0.07852640151977539
15204352,4576,29,48.88,-7.9378176,3322,,,,,,,,,,,,,,
15728640,4689,30,61.32,-11.105502,3354,0.00024659413333333335,0.0067105703,0.2,-0.0016212332430200148,580,0.0767947966025531,-2.287175028794445,0.7584412097930908,0.9282119870185852,,,0.013599971309304237,,0.07528400421142578
15990784,,,,,,0.00023785600000000002,0.006427355,0.2,-0.0014156429987679075,600,0.0789514314103144,-2.2658563679084183,0.7509952783584595,0.9256991744041443,0.92,42.76,0.003817422315478325,-6.4357523918151855,0.07342586517333985
16252928,4827,31,50.81,-9.232538,3366,,,,,,,,,,,,,,
16777216,4943,32,44.39,-7.3716936,3393,0.00022911786666666666,0.0063834917,0.2,-0.0015360452322170203,620,0.07610640296588826,-2.2411565094254913,0.7428826093673706,0.927347257733345,,,0.018016494810581207,,0.07398386001586914
16990208,,,,,,0.00022037973333333333,0.006452378,0.2,-0.0013553857946590141,640,0.07011565638276807,-2.2219247492263094,0.7349070310592651,0.9321923553943634,0.88,44.4,0.006046608090400696,-7.365309238433838,0.07346935272216797
17301504,5081,33,58.57,-10.63004,3405,,,,,,,,,,,,,,
17825792,5193,34,48.84,-8.54015,3432,0.00021164159999999998,0.0063923243,0.2,-0.0013066213151091688,660,0.06997319242473168,-2.202907219179906,0.728810727596283,0.9320705533027649,,,0.007734687998890877,,0.07194318771362304
17989632,,,,,,0.00020290346666666665,0.006706314,0.2,-0.0013404527684997448,680,0.07025782339733269,-2.186969526973553,0.7221041321754456,0.9330873489379883,0.86,50.62,0.011460531502962112,-7.844488620758057,0.0738382339477539
18350080,5332,35,38.15,-6.4323792,3440,,,,,,,,,,,,,,
18874368,5445,36,54.87,-8.842895,3465,0.00019416533333333337,0.006565107,0.2,-0.0012158647556589131,700,0.06665766344740405,-2.16893542339094,0.7161567807197571,0.9359738677740097,,,0.017156286165118217,,0.06970014572143554
18989056,,,,,,0.0001854272,0.0061850375,0.2,-0.001211974918476244,720,0.06710510281845927,-2.1533910050056875,0.7093771696090698,0.935000017285347,0.92,39.62,0.0045148227363824844,-5.954006195068359,0.06951637268066406
19398656,5583,37,50.24,-10.319302,3474,,,,,,,,,,,,,,
19922944,5697,38,50.88,-8.298298,3496,0.00017668906666666668,0.0061021764,0.2,-0.0009526016990093922,740,0.06619286900277074,-2.1392871964955704,0.7050329446792603,0.9370201379060745,,,0.02195708639919758,,0.0661391258239746
19988480,,,,,,0.00016795093333333332,0.005720678,0.2,-0.00122529598068013,760,0.06606987034028862,-2.124156213947572,0.6993162035942078,0.9382215216755867,0.94,28.98,0.006764089688658714,-3.4459972381591797,0.0646327018737793
20447232,5838,39,36.9,-6.5109606,3502,,,,,,,,,,,,,,
20971520,5953,40,39.95,-6.7773175,3522,0.0001592128,0.0059049134,0.2,-0.0010193937280973842,780,0.06732269159147108,-2.1094478462124244,0.6944893598556519,0.9370941817760468,,,0.012308191508054733,,0.0639653205871582
20987904,,,,,,0.00015047466666666664,0.00606437,0.2,-0.0012958101052277017,800,0.0653648712879658,-2.0914308324223385,0.6879510879516602,0.9394184909760952,0.92,37.18,0.012018395587801933,-5.935712814331055,0.0643646240234375
21495808,6092,41,48.16,-7.6406803,3528,,,,,,,,,,,,,,
21987328,,,,,,0.00014173653333333336,0.005598972,0.2,-0.0011598531081631336,820,0.06426480335976521,-2.073610623087734,0.6820701360702515,0.9376851283013821,0.86,50.44,0.009593022987246513,-8.83215618133545,0.060952949523925784
22020096,6230,42,51.26,-8.833184,3534,,,,,,,,,,,,,,
22544384,6348,43,37.84,-5.7444415,3550,0.00013299840000000003,0.0053015747,0.2,-0.000995996916248032,840,0.06193425910460064,-2.068824274139479,0.6813294887542725,0.9414685480296612,,,0.003068160265684128,,0.05647211074829102
22986752,,,,,,0.00012426026666666667,0.0054441486,0.2,-0.0012668100344512823,860,0.06294868933327961,-2.055856057466008,0.6760055422782898,0.9401811510324478,0.9,47.48,0.008152812719345093,-6.962576389312744,0.05857934951782227
23068672,6487,44,43.18,-7.499917,3555,,,,,,,,,,,,,,
23592960,6603,45,49.36,-8.889037,3572,0.00011552213333333333,0.0053884992,0.2,-0.0012332310253100331,880,0.061684883639463804,-2.042268677521497,0.6718825101852417,0.941729798913002,,,0.0031970981508493423,,0.055695724487304685
23986176,,,,,,0.00010678399999999999,0.0052780323,0.2,-0.0014144108405844235,900,0.06070035804095823,-2.026473783119582,0.6662501096725464,0.9434387609362602,0.96,30.64,0.006769977509975433,-4.212291717529297,0.05680093765258789
24117248,6746,46,37.21,-5.671546,3574,,,,,,,,,,,,,,
24641536,6862,47,25.61,-3.073119,3590,9.804586666666666e-05,0.0054411166,0.2,-0.001434945960738787,920,0.06164039447849064,-2.0074538398301227,0.6599670052528381,0.9418144337832928,,,0.019596043974161148,,0.056072425842285153
24985600,,,,,,8.930773333333331e-05,0.00501262,0.2,-0.0013825471043105609,940,0.05181230399939522,-1.994084359286353,0.6557227373123169,0.9485835283994675,0.92,36.98,0.0027250349521636963,-5.875734806060791,0.04887800216674805
25165824,7003,48,37.3,-5.509574,3593,,,,,,,,,,,,,,
25690112,7118,49,42.33,-6.9899473,3609,8.056960000000002e-05,0.0048725945,0.2,-0.0014086845926044589,960,0.05567348042768572,-1.9784322450403125,0.6506699323654175,0.9463612027466297,,,0.0010083690285682678,,0.04748077392578125
25985024,,,,,,7.183146666666668e-05,0.0045380816,0.2,-0.0013246923749647976,980,0.057043594574679446,-1.9675794614013284,0.6467000246047974,0.9448478482663631,0.98,23.98,-2.977810800075531e-05,-2.5505728721618652,0.04357089996337891
26214400,7259,50,32.37,-4.4780245,3611,,,,,,,,,,,,,,
26738688,7522,51,42.09,-7.580794,3554,6.309333333333333e-05,0.004406356,0.2,-0.0013563711054132455,1000,0.05652766372040787,-1.9537557698087766,0.6423944234848022,0.9437262862920761,,,0.0056336987763643265,,0.04140663146972656
26984448,,,,,,5.435519999999999e-05,0.004077485,0.2,-0.0010159130865645238,1020,3.6085180073605443,-1.9432344514178113,0.6390093564987183,0.19991731643676758,0.94,35.82,0.014759032055735588,-6.565412998199463,0.036708927154541014
27262976,7873,52,35.29,-5.2460594,3462,,,,,,,,,,,,,,
27787264,8197,53,35.25,-5.664401,3389,4.5617066666666654e-05,0.0033774343,0.2,-0.0008813085305860114,1040,1.9509488310006418,-1.9417079479666426,0.639040470123291,0.4025494456291199,,,0.006289759650826454,,0.028375911712646484
27983872,,,,,,3.687893333333331e-05,0.0034415005,0.2,-0.0009247352824672816,1060,1.2507268538764038,-1.9439956976333632,0.639228105545044,0.5450932085514069,0.9,44.9,2.168510675430298,-7.758045673370361,0.02604703903198242
28311552,8548,54,35.77,-5.401421,3311,,,,,,,,,,,,,,
28835840,8872,55,32.07,-5.434805,3249,2.814080000000002e-05,0.0030778472,0.2,-0.0008165186519249801,1080,0.6009087613592783,-1.9457413740921765,0.6403335332870483,0.7068232595920563,,,-0.011477800086140633,,0.021235561370849608
28983296,,,,,,1.940266666666668e-05,0.002633144,0.2,-0.0008397419643301873,1100,0.49667215761473926,-1.9582616613712163,0.6455765962600708,0.7611094862222672,0.98,27.46,-0.00938069075345993,-3.6991891860961914,0.017959976196289064
29360128,9224,56,35.77,-5.429289,3182,,,,,,,,,,,,,,
29884416,9549,57,32.99,-5.267007,3129,1.0664533333333338e-05,0.0023859325,0.2,-0.0007824319548660697,1120,0.46535639663188705,-1.9674262854736297,0.6477353572845459,0.7887249439954758,,,-0.011507973074913025,,0.011775779724121093
29982720,,,,,,1.926399999999995e-06,0.0018880724,0.2,-0.000621855487531775,1140,0.30418565540421694,-1.9707387324655428,0.6485580205917358,0.8461403846740723,0.96,23.34,0.81099933385849,-2.5880484580993652,0.005724334716796875
30408704,9902,58,33.67,-5.0334444,3070,,,,,,,,,,,,,,
